individual	chr12:5981991:5983150:cluster591	chr12:5981991:5985045:cluster591	chr12:5983254:5985045:cluster591
GTEX-1F48J	120	34	238
GTEX-132NY	184	0	209
GTEX-11P82	155	0	183
GTEX-14JIY	55	0	67
GTEX-R55E	132	0	161
GTEX-YB5E	155	0	179
GTEX-SUCS	202	0	228
GTEX-12WSM	203	0	242
GTEX-15EO6	262	0	296
GTEX-YF7O	218	0	245
GTEX-13X6I	470	0	537
GTEX-1CAMR	82	0	94
GTEX-13W46	148	0	179
GTEX-16MTA	54	0	66
GTEX-ZQG8	125	0	147
GTEX-U3ZG	120	0	137
GTEX-14C38	50	0	60
GTEX-1C475	203	0	232
GTEX-XBED	214	0	250
GTEX-XPT6	277	0	319
GTEX-14JG6	117	0	141
GTEX-R55D	122	0	136
GTEX-1JN76	172	0	210
GTEX-X4XX	276	0	313
GTEX-1C64N	114	0	130
GTEX-14PQA	144	0	174
GTEX-1CB4G	115	0	142
GTEX-13S7M	41	0	46
GTEX-1LB8K	54	0	60
GTEX-15UF7	225	0	269
GTEX-1OFPY	148	0	172
GTEX-14PJN	254	0	291
GTEX-XQ8I	87	0	98
GTEX-147F4	42	0	51
GTEX-QV31	46	0	56
GTEX-1AX9K	172	0	208
GTEX-XUW1	117	0	137
GTEX-1313W	166	0	189
GTEX-XQ3S	80	0	91
GTEX-1C6WA	264	0	321
GTEX-XUZC	118	0	139
GTEX-R53T	40	0	47
GTEX-ZDYS	117	0	135
GTEX-ZLV1	196	0	234
GTEX-18A6Q	103	0	117
GTEX-17EUY	125	0	149
GTEX-X8HC	181	0	208
GTEX-13FTY	128	0	154
GTEX-16NPX	80	0	95
GTEX-1F5PL	113	0	127
GTEX-WK11	171	0	207
GTEX-1GPI7	219	0	264
GTEX-1GN1W	143	0	173
GTEX-Y8DK	159	0	184
GTEX-12C56	286	0	331
GTEX-TSE9	186	0	227
GTEX-ZYFG	152	0	177
GTEX-W5WG	165	0	200
GTEX-TMMY	243	0	285
GTEX-SN8G	240	0	277
