individual	chr16:28983290:28983786:cluster7347	chr16:28983290:28984609:cluster7347	chr16:28983957:28984205:cluster7347	chr16:28983957:28984609:cluster7347
GTEX-ZC5H	67	1	17	30
GTEX-1IDJD	105	2	62	0
GTEX-1IDJC	74	1	45	1
GTEX-132NY	76	1	46	0
GTEX-13OVL	37	0	21	0
GTEX-139TU	118	0	67	0
GTEX-ZYY3	87	1	54	0
GTEX-14JIY	64	1	35	1
GTEX-R55E	41	0	25	0
GTEX-YEC4	58	1	31	1
GTEX-SUCS	107	1	56	0
GTEX-1QW4Y	136	0	77	0
GTEX-13X6I	66	1	42	1
GTEX-1CAMR	72	1	36	0
GTEX-13OVJ	57	0	33	0
GTEX-13W46	62	1	38	1
GTEX-13OW5	40	0	22	0
GTEX-U3ZG	70	0	38	0
GTEX-14C38	40	0	22	0
GTEX-1C475	80	1	42	0
GTEX-ZF28	67	0	40	0
GTEX-14BMV	59	0	39	0
GTEX-17F96	150	0	85	0
GTEX-1B8KE	50	0	29	0
GTEX-14JG6	66	0	40	0
GTEX-1JN76	72	1	49	0
GTEX-X4XX	88	1	48	0
GTEX-14PQA	91	0	58	0
GTEX-S33H	98	0	56	1
GTEX-13JVG	73	0	41	0
GTEX-ZPIC	48	0	31	0
GTEX-13S7M	39	0	21	0
GTEX-1122O	63	1	36	0
GTEX-ZAB5	66	0	34	1
GTEX-1LB8K	67	0	40	1
GTEX-15SHU	56	1	31	1
GTEX-139T6	54	0	28	0
GTEX-1MJK3	75	0	41	0
GTEX-13PL6	49	0	25	0
GTEX-15UF6	121	0	67	0
GTEX-1I6K7	101	0	57	1
GTEX-15UF7	117	1	67	0
GTEX-113JC	51	0	29	0
GTEX-13CF2	69	0	38	0
GTEX-1C6VQ	111	0	63	0
GTEX-1OFPY	55	1	31	0
GTEX-1F75B	88	1	59	0
GTEX-11NUK	56	0	32	0
GTEX-XQ8I	30	0	17	0
GTEX-1GZ2Q	29	0	17	0
GTEX-12ZZY	50	0	27	0
GTEX-OIZI	48	0	27	0
GTEX-1JKYN	40	0	23	0
GTEX-R53T	38	0	23	0
GTEX-111FC	49	1	31	0
