cluster_id	exon_skipping	alternate_5	alternate_3
cluster29161	True	True	False
cluster28324	True	True	False
cluster9241	True	False	False
cluster37608	False	True	False
cluster68724	True	True	False
cluster67357	True	True	True
cluster40531	True	True	True
cluster11995	True	False	True
cluster67116	True	False	False
cluster43102	True	True	True
cluster56101	True	True	False
cluster59328	True	True	False
cluster38688	True	True	False
cluster46897	False	True	False
cluster59970	True	True	True
cluster21522	True	False	True
cluster33050	True	False	True
cluster44749	True	True	True
cluster20007	False	True	False
cluster59206	True	False	True
cluster47499	True	False	False
cluster13435	False	True	True
cluster45328	True	False	True
cluster9905	False	True	False
cluster45326	True	True	True
cluster67047	True	False	True
cluster1759	True	False	False
cluster77880	True	True	True
cluster14827	True	False	False
cluster1169	True	False	False
cluster48070	False	False	True
cluster36582	True	True	True
cluster10684	False	True	True
cluster54292	False	False	True
cluster3839	False	True	True
cluster20598	True	False	False
cluster3943	True	True	False
cluster37526	True	True	False
cluster39774	False	False	True
cluster7824	True	True	False
cluster18377	False	True	False
cluster591	True	False	False
cluster19163	True	False	True
cluster66020	True	True	True
cluster50763	True	True	False
cluster70622	False	True	False
cluster26855	True	False	False
cluster26857	True	True	False
cluster12562	False	True	False
cluster40809	True	False	False
cluster29018	True	False	True
cluster65832	True	True	False
cluster41092	True	True	False
cluster5483	True	False	False
cluster12792	True	True	True
cluster66135	True	False	False
cluster48677	True	True	True
cluster9042	False	True	False
cluster59752	True	True	True
cluster6714	True	True	False
cluster59591	True	False	False
cluster87054	True	False	True
cluster59535	True	False	True
cluster36117	True	True	False
cluster2712	False	True	False
cluster66550	True	False	False
cluster10259	True	True	False
cluster42812	True	False	False
cluster10651	False	True	False
cluster27040	True	False	False
cluster55667	True	True	False
cluster24139	True	True	False
cluster44320	False	True	True
cluster10781	False	True	False
cluster27685	True	False	False
cluster31662	False	False	True
cluster30181	False	False	True
cluster20233	True	False	True
cluster67783	False	True	False
cluster66001	True	True	False
cluster65202	True	True	False
cluster6868	True	False	False
cluster6330	True	False	False
cluster65992	True	False	True
cluster23653	False	True	True
cluster59569	True	False	False
cluster17388	False	True	False
cluster23456	False	True	False
cluster67558	True	False	False
cluster27632	True	False	False
cluster30444	True	False	False
cluster18840	True	True	True
cluster21630	False	True	True
cluster14560	True	True	False
cluster41672	True	False	False
cluster19330	False	True	False
cluster40962	True	True	False
cluster67386	True	False	False
cluster9689	False	False	True
cluster50851	True	True	True
cluster6570	True	True	False
cluster11159	True	False	False
cluster13345	False	True	True
cluster30735	True	False	True
cluster31804	True	False	True
cluster9827	False	False	True
cluster10329	True	False	False
cluster38175	True	False	True
cluster25857	False	True	False
cluster55574	True	False	False
cluster47968	True	False	True
cluster25228	True	False	False
cluster27702	True	True	False
cluster15965	False	True	False
cluster4891	True	True	False
cluster4412	True	True	True
cluster25994	True	True	False
cluster21237	False	True	False
cluster56829	True	False	True
cluster5305	True	False	False
cluster5301	True	False	False
cluster60293	True	True	True
cluster1992	True	True	False
cluster66143	True	False	False
cluster32099	True	False	False
cluster71750	True	True	False
cluster16820	True	False	False
cluster67257	True	True	True
cluster66476	True	False	False
cluster67477	True	False	False
cluster88134	True	False	False
cluster24616	True	False	True
cluster24618	True	False	False
cluster32591	False	False	True
cluster67678	False	False	True
cluster30334	True	True	False
cluster15655	True	False	False
cluster25586	False	False	True
cluster17876	True	True	True
cluster67373	True	False	False
cluster30039	True	False	False
cluster40908	False	False	True
cluster11271	True	False	False
cluster10926	True	True	False
cluster84561	True	True	True
cluster65975	True	False	True
cluster20065	True	True	False
cluster7347	True	False	True
cluster32121	True	False	False
cluster11031	True	True	False
cluster8438	True	True	False
cluster47545	False	True	False
cluster13936	True	True	False
cluster57047	True	False	True
cluster52704	True	False	False
cluster3160	True	True	True
cluster26911	True	True	True
cluster15620	True	True	False
cluster26229	True	True	False
cluster9556	True	True	False
cluster15627	True	True	False
cluster55928	False	False	True
cluster87406	True	False	False
cluster14805	True	False	False
cluster11195	True	True	False
cluster48315	True	False	False
cluster55259	False	True	False
cluster11612	True	False	False
cluster67746	True	True	True
cluster63659	True	True	False
cluster51102	True	False	False
cluster2581	True	False	True
