individual	chr20:36607818:36607890:cluster12792	chr20:36607818:36608585:cluster12792	chr20:36607818:36609601:cluster12792	chr20:36607818:36612010:cluster12792	chr20:36608000:36609601:cluster12792	chr20:36608000:36612010:cluster12792	chr20:36608706:36609601:cluster12792	chr20:36609730:36611992:cluster12792	chr20:36609730:36612010:cluster12792	chr20:36609758:36612010:cluster12792	chr20:36611132:36612010:cluster12792
GTEX-13G51	6	11	188	3	10	0	20	0	201	2	0
GTEX-1IDJC	58	0	718	17	107	7	0	13	952	4	0
GTEX-132NY	16	0	268	3	33	4	0	4	309	0	0
GTEX-13OVL	11	0	229	4	30	3	0	3	246	0	0
GTEX-UPJH	29	0	286	3	51	3	0	6	375	0	0
GTEX-11P82	83	0	1476	21	159	8	0	25	1719	3	0
GTEX-QEG4	9	0	138	0	20	1	0	1	172	0	0
GTEX-14JIY	15	0	231	1	20	3	0	6	267	1	0
GTEX-147F3	20	0	239	4	24	3	0	2	319	0	0
GTEX-YEC4	36	0	297	6	63	7	0	4	397	1	0
GTEX-YB5E	120	0	1289	31	169	25	0	7	1515	6	0
GTEX-ZYT6	22	0	266	3	32	4	0	3	327	0	0
GTEX-1QW4Y	38	0	516	8	65	4	0	7	637	2	0
GTEX-1KD4Q	24	1	336	5	39	1	0	6	430	0	0
GTEX-12WSM	18	0	180	5	27	2	0	1	197	0	0
GTEX-15EO6	44	0	352	9	65	6	0	6	417	2	0
GTEX-YF7O	33	0	474	15	67	4	0	15	575	2	0
GTEX-13X6I	9	0	118	1	24	1	0	3	188	0	0
GTEX-14PJO	44	0	313	3	48	2	0	7	409	1	0
GTEX-1CAMR	60	0	736	5	133	9	0	16	978	5	0
GTEX-1AX8Z	38	0	348	3	63	9	0	4	511	1	0
GTEX-1KXAM	160	1	1600	23	218	11	1	19	2137	4	0
GTEX-11EQ9	39	0	437	3	58	4	0	2	515	3	0
GTEX-13OVJ	16	0	150	1	21	4	0	2	186	0	0
GTEX-13W46	42	0	595	7	78	10	0	7	752	0	0
