individual	chr11:64230940:64231032:cluster57047	chr11:64230940:64231871:cluster57047	chr11:64230940:64232430:cluster57047	chr11:64230940:64233894:cluster57047	chr11:64231147:64231871:cluster57047	chr11:64231964:64232430:cluster57047	chr11:64232614:64232701:cluster57047	chr11:64232614:64232704:cluster57047	chr11:64232865:64233334:cluster57047	chr11:64232865:64233894:cluster57047
GTEX-ZAB4	9	37	36	7	1	49	32	194	9	184
GTEX-1IDJD	5	82	1	1	2	92	22	101	3	113
GTEX-1IDJC	3	119	0	3	6	136	31	150	1	203
GTEX-132NY	2	87	1	6	2	110	28	139	1	184
GTEX-14ABY	1	107	0	3	2	98	34	146	0	157
GTEX-13OVL	3	99	0	1	2	89	19	152	0	142
GTEX-139TU	8	172	1	6	1	176	42	216	1	264
GTEX-11P82	5	126	1	5	2	129	32	223	0	231
GTEX-QEG4	3	49	0	0	0	54	17	76	0	98
GTEX-14JIY	2	104	1	3	2	121	26	146	2	194
GTEX-R55E	0	85	0	2	3	82	19	104	0	130
GTEX-YEC4	2	55	0	2	2	85	18	96	1	100
GTEX-YB5E	4	56	0	0	3	74	21	113	0	122
GTEX-1QW4Y	6	147	0	0	7	145	38	218	4	237
GTEX-Y8E4	6	103	1	2	1	124	25	142	0	177
GTEX-YF7O	5	55	1	1	1	84	20	96	1	113
GTEX-14PJO	2	41	0	0	0	58	12	84	0	78
GTEX-WHPG	2	102	0	3	3	114	21	135	3	164
GTEX-1AX8Z	3	76	1	2	2	100	22	119	2	155
GTEX-14A6H	3	104	1	6	4	113	26	131	3	148
GTEX-13PL7	1	64	0	1	2	74	18	107	2	93
GTEX-11EQ9	3	51	0	1	3	54	10	86	0	72
GTEX-13OW5	1	49	0	2	1	54	10	89	0	87
GTEX-16MTA	6	83	0	5	3	93	23	110	0	144
GTEX-1K9T9	1	80	0	1	2	84	25	125	1	144
GTEX-ZF28	2	55	0	0	1	57	19	88	1	99
GTEX-14BMV	5	132	1	4	1	163	41	226	0	220
GTEX-1F75W	4	129	0	2	3	171	30	173	0	250
GTEX-14JG6	4	56	0	2	2	66	10	83	0	104
GTEX-1JN76	2	75	0	0	3	97	23	122	2	136
GTEX-1RQEC	5	154	1	1	1	145	32	195	1	229
GTEX-1C64N	1	158	1	10	2	180	45	236	4	279
GTEX-15SHU	3	91	1	0	1	104	22	108	1	150
GTEX-TMZS	0	27	0	0	2	40	7	50	1	54
GTEX-1LC47	8	105	0	3	7	117	25	149	0	159
GTEX-139T6	3	61	0	3	3	75	18	106	0	93
GTEX-1MJK3	2	78	1	2	2	71	14	94	0	100
GTEX-13PL6	3	81	0	2	2	88	28	148	0	145
GTEX-12ZZZ	3	88	1	4	1	94	15	115	1	117
GTEX-1I6K7	1	109	1	2	2	101	35	143	0	170
GTEX-11EMC	2	60	0	1	3	76	14	86	0	95
GTEX-113JC	1	73	0	1	0	84	24	113	0	110
GTEX-13CF2	1	72	0	0	2	91	25	138	0	132
GTEX-13RTK	2	55	0	4	1	64	15	81	0	84
GTEX-1C6VQ	2	76	1	1	7	103	26	135	1	144
GTEX-1F75B	6	95	2	2	6	108	22	132	0	172
GTEX-11NUK	2	81	0	4	4	80	23	148	1	146
GTEX-131YS	1	96	0	1	3	110	36	144	0	153
GTEX-1GZ2Q	1	119	2	3	1	129	28	173	0	173
GTEX-1313W	2	139	0	0	1	148	31	176	1	199
GTEX-XQ3S	2	95	0	0	4	119	18	137	1	160
GTEX-1GMR3	3	123	0	1	1	118	26	171	0	202
GTEX-1JKYN	1	38	0	1	0	49	9	55	0	66
GTEX-18A7B	3	97	0	4	7	107	22	132	2	177
GTEX-R53T	2	39	0	1	1	39	8	64	0	54
GTEX-145LU	1	122	0	3	2	138	30	186	1	178
GTEX-111FC	3	94	0	3	0	114	32	177	2	190
GTEX-1KD5A	4	160	0	6	5	182	31	203	4	258
GTEX-1S83E	2	128	1	4	5	130	40	195	0	222
GTEX-ZLV1	2	60	0	4	1	89	19	106	0	115
GTEX-17EUY	4	93	0	2	2	101	30	123	0	141
GTEX-1LGOU	1	98	0	1	6	124	21	143	0	174
GTEX-1L5NE	4	88	1	1	1	97	20	149	2	156
GTEX-1I4MK	0	56	1	2	1	84	15	103	2	115
GTEX-13FTY	3	88	1	1	1	98	25	166	1	167
