individual	chr5:82276518:82277076:cluster37526	chr5:82276518:82277693:cluster37526	chr5:82276518:82277695:cluster37526	chr5:82277171:82277693:cluster37526	chr5:82277852:82277931:cluster37526	chr5:82277852:82278320:cluster37526
GTEX-1B932	608	5400	2	570	0	3604
GTEX-1IDJC	0	10095	6	0	1	5294
GTEX-14ABY	0	6426	1	0	0	3434
GTEX-13OVL	0	5695	3	0	0	3056
GTEX-139TU	0	7554	6	0	0	4357
GTEX-ZYY3	0	8524	1	0	3	4675
GTEX-11P82	0	9142	3	0	4	4921
GTEX-14JIY	0	5648	4	0	1	2924
GTEX-R55E	0	3958	3	0	0	2318
GTEX-YEC4	0	5198	2	0	0	2774
GTEX-Y8E4	0	9438	7	0	0	5287
GTEX-12WSM	0	4229	1	0	1	2192
GTEX-YF7O	0	7480	4	0	0	3897
GTEX-13X6I	0	5294	4	0	1	2920
GTEX-14PJO	0	7912	5	0	2	4277
GTEX-1KXAM	0	12466	9	0	3	7251
GTEX-14A6H	0	7478	5	0	0	3963
GTEX-13PL7	0	7272	4	0	3	3888
GTEX-13OVJ	0	5404	3	0	0	2990
GTEX-13OW5	0	4067	1	0	3	2190
GTEX-ZQG8	0	10358	0	0	0	5824
GTEX-1F88E	0	7127	6	0	0	4160
GTEX-U3ZG	0	5369	5	0	0	2873
GTEX-1C475	0	6228	2	0	0	3427
GTEX-XBED	0	4262	4	0	0	2492
GTEX-XPT6	0	8924	2	0	0	4792
GTEX-U4B1	0	4471	2	0	2	2400
GTEX-1F75W	0	8600	6	0	0	4845
GTEX-1AX9I	0	5171	0	0	1	2870
GTEX-ZVT2	0	5993	4	0	0	3200
GTEX-14JG6	0	5366	4	0	0	2806
GTEX-1KANA	0	7471	3	0	1	4337
GTEX-X4XX	0	5578	2	0	1	3247
GTEX-1RQEC	0	7379	2	0	0	3965
GTEX-Y5V5	0	7175	8	0	0	4230
GTEX-S33H	0	9503	6	0	2	5293
GTEX-P78B	1	7025	6	0	2	3654
GTEX-ZAB5	0	7600	4	0	1	4344
GTEX-1LB8K	0	6254	5	0	0	3485
GTEX-11TTK	0	6498	3	0	0	3412
GTEX-TMZS	0	1802	0	0	1	1029
GTEX-1LC47	0	15570	2	0	11	8573
GTEX-11DXX	0	8062	5	0	1	4453
GTEX-13PL6	0	6301	3	0	0	3407
GTEX-12ZZZ	0	3416	1	0	1	1940
GTEX-RWS6	0	3470	2	0	2	2040
GTEX-11EMC	0	6695	4	0	0	3715
GTEX-X4XY	0	6887	2	0	10	3974
GTEX-113JC	0	3283	2	0	0	1880
GTEX-13CF2	0	3896	0	0	0	2160
GTEX-ZXG5	0	7225	3	0	4	3754
GTEX-PWN1	0	1932	1	0	0	1021
GTEX-1A32A	0	4294	2	0	0	2498
GTEX-1OFPY	0	6612	1	0	4	3671
GTEX-131YS	0	5760	2	0	0	3160
GTEX-14PJN	0	4825	3	0	1	2739
GTEX-12696	0	9028	2	0	1	4776
GTEX-1AX9K	0	3881	1	0	2	2025
GTEX-1B933	0	3823	1	0	1	2091
GTEX-WZTO	0	5712	2	0	0	3125
GTEX-1GZ2Q	0	5306	3	0	1	2779
GTEX-1313W	0	6010	3	0	1	3297
GTEX-1C6WA	0	6360	3	0	3	3549
GTEX-1JKYN	0	3169	4	0	0	1848
GTEX-183FY	0	10611	3	0	0	5888
GTEX-13X6J	0	6610	4	0	2	3418
GTEX-1KD5A	0	9042	3	0	0	5082
GTEX-1S83E	0	11722	7	0	0	6684
GTEX-ZDYS	0	4875	2	0	0	2813
GTEX-1NUQO	0	6513	2	0	3	3671
GTEX-1GF9W	0	4969	4	0	2	2705
GTEX-13FTZ	0	3668	2	0	0	2092
GTEX-17EUY	0	7633	5	0	5	4012
GTEX-1LGOU	0	6885	2	0	2	3744
GTEX-1I4MK	0	9424	3	0	4	4942
GTEX-X8HC	0	6596	3	0	0	3484
GTEX-1MCYP	0	10463	7	0	2	5637
GTEX-13FTY	0	5349	2	0	0	2839
GTEX-1PPH7	0	9990	3	0	0	5343
GTEX-1212Z	0	8549	3	0	0	4697
GTEX-1RAZR	0	11606	0	1	2	6526
GTEX-Y8DK	0	7588	5	0	0	4419
GTEX-OHPL	0	8006	6	0	1	4335
GTEX-12C56	0	7548	3	0	1	4063
GTEX-1211K	0	5746	3	0	1	3141
GTEX-1K2DA	0	17257	11	0	3	9605
GTEX-18D9A	0	8211	4	0	1	4740
GTEX-U8T8	0	5423	6	0	5	3056
GTEX-T5JC	0	6657	6	0	0	3487
GTEX-ZF2S	0	8415	5	0	0	4641
GTEX-ZV6S	0	9790	12	0	5	5426
GTEX-WEY5	0	17658	11	0	0	9428
GTEX-14BMU	1	7037	5	0	3	3661
GTEX-1399T	0	5011	4	0	0	2835
GTEX-11ZUS	0	4664	0	0	0	2649
GTEX-13N2G	0	11568	8	0	5	6473
GTEX-13U4I	0	6767	2	0	3	3614
GTEX-13G51	0	4388	2	0	0	2413
GTEX-RNOR	0	3641	0	0	1	1974
GTEX-WYJK	0	10444	7	0	0	5780
GTEX-1B97I	0	5321	2	0	1	2793
GTEX-1A3MX	0	11999	6	0	0	6681
GTEX-XOT4	0	5334	0	0	2	3089
GTEX-17GQL	0	10597	6	0	0	5975
GTEX-1FIGZ	0	5822	2	0	0	3080
GTEX-15RIG	0	6803	10	0	2	3461
GTEX-13FTW	0	5510	4	0	0	2923
GTEX-11ZVC	0	6414	3	0	0	3512
GTEX-1339X	0	9951	5	0	11	5205
GTEX-ZZ64	0	7716	5	0	0	4161
GTEX-1JMQI	0	9714	13	0	0	5121
GTEX-11OF3	0	5470	2	0	0	2872
GTEX-1R46S	0	8844	8	0	5	4909
GTEX-ZV68	0	7514	4	0	1	4118
GTEX-1P4AB	1	6900	4	0	3	3952
GTEX-11UD2	0	6149	1	0	0	3463
GTEX-1CB4F	0	5582	6	0	0	2946
GTEX-1M4P7	0	10783	5	0	1	5635
GTEX-ZF3C	0	8185	4	0	0	4692
GTEX-18A67	0	9458	4	0	2	4987
GTEX-X261	0	9274	11	0	2	5280
GTEX-13FH7	0	5882	3	0	0	3142
GTEX-OIZH	0	9608	8	0	0	5297
GTEX-YEC3	0	8520	0	0	11	4655
GTEX-1269C	0	5349	3	0	0	2947
GTEX-1AMFI	0	6032	3	0	1	3516
GTEX-1R9PM	0	8745	2	0	4	4881
GTEX-1192X	0	5654	2	0	2	3169
GTEX-15D79	0	7110	3	0	0	3996
GTEX-1RAZA	0	12248	9	0	0	7058
GTEX-13OVH	0	8075	1	0	1	4624
GTEX-WYVS	0	9901	0	0	2	5289
GTEX-117YW	0	5345	4	0	0	3063
GTEX-ZWKS	0	7181	2	0	2	4041
GTEX-OOBK	0	4180	4	0	4	2397
GTEX-1QEPI	0	10019	1	0	0	5329
GTEX-1LVAO	0	9087	7	0	0	5279
GTEX-Y9LG	0	9112	6	0	0	5185
GTEX-Y5LM	0	9318	9	0	0	4994
GTEX-17KNJ	0	6341	0	0	2	3373
GTEX-QDT8	0	10114	7	0	0	5412
GTEX-1M5QR	0	12784	4	0	2	7372
GTEX-1JN6P	0	6378	3	0	0	3693
GTEX-P4PQ	0	11734	4	0	5	6752
GTEX-1AMEY	0	9520	13	0	0	5059
GTEX-1GN73	0	9049	7	0	1	4867
GTEX-OXRP	0	1542	0	0	2	818
GTEX-14E6D	0	6822	4	0	2	3792
GTEX-1S82Y	0	13642	9	0	1	8013
GTEX-15CHC	0	5645	4	0	1	3326
GTEX-13O21	0	7269	5	0	1	4021
GTEX-1QCLZ	0	7502	1	0	0	4218
GTEX-1RB15	0	6970	3	0	0	3987
GTEX-1314G	0	11615	9	0	0	6558
GTEX-PLZ6	0	2242	1	0	0	1238
GTEX-13SLW	0	6096	6	0	0	3300
GTEX-1PIEJ	0	10174	2	0	3	5872
GTEX-15CHR	0	6389	3	0	0	3503
GTEX-18A7A	0	6135	3	0	0	3361
GTEX-WOFL	0	13299	11	0	1	7466
GTEX-13OW8	0	5370	5	0	0	3022
GTEX-R55G	0	3267	1	0	4	1779
GTEX-16XZY	0	3809	2	0	1	2060
GTEX-OIZG	0	7523	6	0	0	4101
GTEX-12WSJ	0	8048	6	0	0	4487
GTEX-1LVAM	0	8247	3	0	3	4757
GTEX-14PJ5	0	7477	4	0	0	4098
GTEX-X5EB	0	3248	2	0	1	1713
GTEX-ZAB4	0	11049	1	0	0	6301
GTEX-14PII	0	4581	4	0	5	2659
GTEX-17HHE	0	5501	3	0	2	3063
GTEX-WOFM	0	15402	7	0	1	8478
GTEX-1R7EU	0	6291	2	0	1	3482
GTEX-U3ZM	0	4172	1	0	0	2328
GTEX-1A8G6	0	6539	7	0	1	3680
GTEX-13PLJ	0	4517	1	0	0	2507
GTEX-14PJ2	0	5630	4	0	1	3166
GTEX-RN64	0	3744	3	0	1	2212
GTEX-1QP66	0	13588	14	0	5	7683
GTEX-15SB6	0	9966	8	0	1	5780
GTEX-QCQG	0	6831	2	0	0	3713
GTEX-1MCQQ	0	6996	3	0	1	3992
GTEX-11NSD	0	6757	6	0	0	3727
GTEX-139YR	0	8084	6	0	2	4427
GTEX-1MA7W	0	13746	7	0	2	7884
GTEX-U8XE	0	5833	9	0	2	3196
GTEX-1BAJH	0	5599	1	0	0	2976
GTEX-13QIC	0	5223	3	0	0	2777
GTEX-11ZTT	0	7045	4	0	0	4047
GTEX-12KS4	0	6315	2	0	1	3626
GTEX-11I78	0	5844	3	0	0	3028
GTEX-1GPI6	0	6266	7	0	0	3561
GTEX-Z93S	0	6816	2	0	0	3561
GTEX-111YS	0	6480	2	0	1	3500
GTEX-13111	0	4658	2	0	0	2534
GTEX-139TS	0	7087	3	0	2	3816
GTEX-14PK6	0	6459	2	0	1	3659
GTEX-ZYFD	0	3368	1	0	0	1769
GTEX-17JCI	0	7955	6	0	0	4105
GTEX-11XUK	0	5301	0	0	0	2862
GTEX-1JJ6O	0	7948	6	0	1	4369
GTEX-13OVK	0	6506	6	0	2	3778
GTEX-13OVG	0	7607	6	0	4	3946
GTEX-YECK	0	8348	5	0	1	4488
GTEX-1F88F	0	7604	3	0	0	4094
GTEX-12WSA	0	15457	5	0	1	8766
GTEX-14XAO	0	10299	7	0	1	5392
GTEX-1GN2E	0	4347	1	0	0	2361
GTEX-14E6E	0	6895	2	0	0	3739
GTEX-ZGAY	0	10842	3	0	0	5962
GTEX-14C39	0	7032	5	0	1	3616
GTEX-147GR	0	6646	5	0	0	3639
GTEX-13CF3	0	8313	3	0	0	4562
GTEX-1CB4I	0	6685	6	0	0	3492
GTEX-16NPV	0	6169	5	0	0	3511
GTEX-1399S	0	8168	2	0	3	4485
GTEX-13X6K	0	9309	3	0	4	5017
GTEX-1A8G7	0	5144	4	0	0	2817
GTEX-RM2N	0	2998	5	0	0	1777
GTEX-14DAQ	0	8430	3	0	0	4577
GTEX-ZEX8	0	11691	11	0	1	6683
GTEX-WL46	0	6705	4	0	3	3609
GTEX-1RAZQ	0	10104	8	0	1	5184
