individual	chr12:109253158:109254214:cluster26911	chr12:109253158:109254288:cluster26911	chr12:109254334:109256057:cluster26911	chr12:109254334:109256140:cluster26911	chr12:109254334:109258268:cluster26911	chr12:109256236:109258268:cluster26911	chr12:109256236:109260480:cluster26911	chr12:109258364:109258577:cluster26911	chr12:109258364:109258580:cluster26911	chr12:109258364:109258960:cluster26911	chr12:109258364:109258973:cluster26911	chr12:109258364:109258982:cluster26911	chr12:109258364:109258985:cluster26911	chr12:109259108:109259756:cluster26911	chr12:109259108:109260065:cluster26911	chr12:109259108:109260480:cluster26911	chr12:109259985:109260480:cluster26911	chr12:109260149:109260480:cluster26911	chr12:109260657:109262357:cluster26911	chr12:109260657:109262377:cluster26911
GTEX-12WSJ	847	5	0	1062	10	982	0	0	2	7	492	145	564	3	99	974	3	78	998	9
GTEX-1IDJD	132	1	0	132	3	116	0	0	0	0	148	0	0	0	20	156	0	15	158	1
GTEX-1IDJC	669	6	1	733	7	672	0	0	0	9	875	1	0	0	87	669	0	71	698	8
GTEX-132NY	56	0	0	68	1	68	0	0	0	1	56	0	0	0	9	54	0	4	70	2
GTEX-14ABY	105	1	0	108	0	92	0	0	0	2	123	0	0	0	6	102	0	6	88	2
GTEX-13OVL	48	1	0	55	3	58	0	0	0	1	60	0	0	0	6	64	0	7	71	1
GTEX-ZYY3	234	2	1	287	2	286	0	0	0	9	362	0	0	0	43	240	0	39	265	4
GTEX-UPJH	104	1	0	117	0	114	0	0	0	2	129	0	0	1	19	98	0	12	84	0
GTEX-11P82	1236	4	0	1712	4	1485	0	2	0	43	1769	2	0	6	113	1542	0	86	1517	9
GTEX-QEG4	58	2	0	75	0	68	0	0	1	0	79	0	0	0	9	62	0	4	69	0
GTEX-147F3	365	4	0	396	2	399	0	3	7	17	550	0	0	3	68	358	0	73	468	4
GTEX-YEC4	433	2	1	557	1	449	0	2	2	8	621	0	0	4	107	460	0	87	540	6
GTEX-YB5E	1189	13	5	1351	10	1296	0	2	5	14	1633	1	0	1	117	1217	0	110	1254	6
GTEX-SUCS	495	7	1	491	10	487	0	0	0	9	499	0	2	0	93	496	0	52	557	7
GTEX-ZYT6	102	0	0	102	0	108	0	0	0	0	135	0	0	2	11	114	0	6	109	2
GTEX-1QW4Y	307	0	0	385	3	363	0	0	4	6	455	1	2	0	64	305	0	60	382	4
GTEX-Y8E4	443	4	0	542	4	532	0	1	2	4	660	0	0	0	49	506	0	58	472	0
GTEX-YF7O	1453	9	5	1796	8	1548	0	1	1	15	2093	1	0	2	221	1559	0	176	1451	5
GTEX-1CAMR	615	6	1	739	1	660	0	0	2	18	835	0	0	0	40	758	0	49	768	7
GTEX-1AX8Z	295	7	0	316	0	288	0	0	0	7	357	0	0	0	28	301	0	24	283	1
GTEX-1KXAM	808	11	3	973	10	872	0	2	3	17	973	0	0	1	89	816	0	86	792	14
GTEX-13PL7	670	3	0	804	4	745	0	0	3	12	901	0	0	1	78	741	1	50	832	12
GTEX-11EQ9	654	2	0	779	5	738	0	0	4	4	876	0	0	0	58	751	0	45	719	6
GTEX-ZQG8	649	5	0	891	8	883	0	0	0	7	957	0	0	0	90	709	0	78	792	9
GTEX-XBED	240	4	0	310	3	315	0	0	1	0	306	0	0	3	40	286	0	34	303	4
GTEX-ZF28	436	1	0	544	6	550	0	3	4	16	622	0	0	11	71	395	3	55	470	5
GTEX-U4B1	1015	2	3	1072	6	946	0	1	5	11	1130	1	0	10	117	922	7	117	976	14
GTEX-17F96	673	4	0	739	9	634	0	2	3	25	819	0	0	3	70	689	0	64	710	6
GTEX-ZVT2	1345	14	4	1602	6	1447	0	0	0	20	1795	0	0	0	186	1357	0	140	1456	11
GTEX-14JG6	748	7	1	835	9	836	0	0	0	19	1089	0	0	2	145	786	0	128	821	7
GTEX-1KANA	581	1	0	696	8	641	0	0	0	4	698	0	0	3	45	664	0	37	638	1
GTEX-1RQEC	143	1	0	143	5	137	0	0	0	1	164	0	0	0	13	147	0	13	135	0
GTEX-Y5V5	340	1	0	387	0	345	0	3	2	0	406	0	0	3	37	350	1	44	437	2
GTEX-16YQH	102	0	0	119	1	93	0	0	3	0	123	0	0	1	9	90	0	6	126	2
GTEX-14PQA	551	4	0	682	7	610	0	4	11	13	867	0	0	2	74	702	5	68	796	6
GTEX-S33H	160	1	0	189	0	142	0	0	2	2	174	0	0	0	10	170	0	6	176	1
GTEX-1CB4G	66	1	0	72	0	64	0	0	0	4	97	0	0	0	4	70	0	3	76	0
GTEX-P78B	453	3	0	510	7	470	0	0	0	4	584	0	0	0	21	549	0	27	530	2
GTEX-1122O	1040	11	3	1273	4	1215	0	0	0	13	1603	1	1	0	134	1231	0	114	1308	17
GTEX-1LB8K	143	0	1	145	1	126	0	2	2	5	146	0	0	0	21	105	0	19	133	3
GTEX-15SHU	172	4	0	204	0	169	0	0	0	5	232	0	0	0	25	177	2	18	181	5
GTEX-17MFQ	155	0	0	182	0	192	0	0	0	2	224	0	0	0	19	181	0	16	177	4
GTEX-T5JW	1059	11	0	1215	9	1228	0	4	0	17	1363	0	1	7	225	1238	1	207	1254	14
GTEX-TMZS	46	0	0	70	0	51	0	0	0	1	60	0	0	0	2	66	0	4	56	0
GTEX-14753	355	1	1	416	1	378	0	4	8	7	419	0	0	0	36	375	0	24	368	4
GTEX-139T6	1366	9	5	1862	4	1469	0	0	5	20	1841	0	0	2	161	1491	0	150	1541	12
GTEX-12ZZZ	85	0	0	102	0	109	0	1	1	4	121	0	0	0	4	82	0	7	124	0
GTEX-13FTX	427	0	0	536	6	509	0	0	4	13	652	1	0	4	26	538	2	39	545	5
GTEX-14DAR	787	4	2	887	4	800	0	0	6	7	948	0	0	1	55	862	0	47	919	5
GTEX-RWS6	337	5	0	331	0	340	0	0	1	4	382	0	0	2	50	365	0	42	385	9
GTEX-1I6K7	209	0	0	240	1	204	0	0	0	2	252	0	0	0	48	183	0	30	200	1
GTEX-X4XY	65	0	0	84	1	79	0	0	1	0	118	0	0	0	17	85	0	15	79	0
GTEX-15UF7	313	4	0	325	10	343	0	4	10	12	332	0	0	0	53	298	1	42	348	3
GTEX-13CF2	59	0	0	86	1	62	0	0	0	3	69	0	0	0	6	74	0	6	79	0
GTEX-13RTK	581	11	0	739	7	563	0	0	1	9	731	0	0	2	127	562	0	74	657	8
