individual	chr4:70789592:70793785:cluster29161	chr4:70789592:70794795:cluster29161	chr4:70789592:70800141:cluster29161	chr4:70789592:70802956:cluster29161	chr4:70793904:70794795:cluster29161	chr4:70794894:70800141:cluster29161	chr4:70799875:70800141:cluster29161	chr4:70800205:70802956:cluster29161	chr4:70802983:70804348:cluster29161	chr4:70802983:70806516:cluster29161	chr4:70803059:70804348:cluster29161	chr4:70803059:70806516:cluster29161	chr4:70803176:70804348:cluster29161	chr4:70804416:70806516:cluster29161
GTEX-SNMC	17	5	15	37	10	17	0	66	69	13	13	3	1	84
GTEX-13OVL	9	2	8	0	9	18	0	31	18	1	5	1	0	33
GTEX-ZYY3	14	3	6	2	22	32	3	28	25	0	5	3	1	52
GTEX-14JIY	18	0	9	0	26	34	3	36	33	0	5	1	2	39
GTEX-YEC4	22	0	9	1	23	29	1	42	32	3	8	2	2	40
GTEX-YB5E	30	1	16	1	47	48	1	74	60	8	3	3	4	67
GTEX-SUCS	41	3	25	5	48	51	9	91	69	10	10	0	4	89
GTEX-ZYT6	9	2	5	1	19	18	0	26	26	0	2	0	0	25
GTEX-1QW4Y	37	2	13	0	48	36	1	71	71	4	17	5	5	73
GTEX-Y8E4	36	9	24	2	54	57	2	82	69	2	8	7	0	85
GTEX-1KD4Q	21	6	12	2	29	30	2	42	38	0	8	1	1	53
GTEX-14A6H	25	5	13	5	34	48	2	68	62	4	7	3	9	81
GTEX-13PL7	14	2	7	2	21	34	1	37	37	1	4	2	1	39
GTEX-13OW5	15	2	4	0	17	22	1	40	32	2	3	1	3	41
GTEX-16MTA	29	4	13	0	34	41	0	46	48	2	3	5	1	51
GTEX-1K9T9	20	4	6	1	17	15	2	45	30	3	4	2	0	49
GTEX-ZF28	27	0	10	0	48	41	1	63	55	4	5	1	2	68
GTEX-14BMV	9	1	6	0	15	13	0	23	16	2	3	2	4	25
GTEX-XPT6	31	4	17	2	36	37	1	54	43	8	6	2	3	70
GTEX-146FR	18	5	9	2	39	33	1	53	35	5	7	3	0	42
GTEX-17F96	28	0	6	3	32	33	0	42	45	2	6	0	1	55
GTEX-1B8KE	29	2	14	0	35	33	1	50	36	2	1	3	0	55
GTEX-14JG6	22	3	4	3	25	32	0	37	27	1	4	1	2	42
GTEX-X4XX	32	9	16	3	45	64	2	79	76	4	10	1	2	80
GTEX-1RQEC	28	4	14	1	33	34	1	48	40	1	9	4	3	66
GTEX-Y5V5	56	3	15	8	56	88	8	119	98	7	17	5	5	128
GTEX-1C64N	24	4	13	4	51	69	4	68	70	3	12	2	9	84
GTEX-14PQA	14	0	11	3	24	22	0	33	31	2	2	0	0	39
GTEX-1CB4G	10	4	9	0	15	17	0	28	22	0	2	1	1	26
GTEX-P78B	26	1	7	2	17	23	1	38	38	0	4	1	1	54
GTEX-ZAB5	22	5	15	2	25	34	2	57	46	0	5	2	4	58
GTEX-11DXX	41	2	13	0	37	56	2	66	40	4	5	3	1	68
GTEX-13PL6	11	3	5	0	14	18	0	28	22	1	4	1	2	35
GTEX-15UF6	6	2	2	2	10	8	1	19	17	2	0	1	1	21
GTEX-1399R	26	5	13	2	31	43	2	66	64	2	4	1	1	49
