individual	chr19:11508048:11510617:cluster10259	chr19:11508048:11513056:cluster10259	chr19:11510660:11513056:cluster10259	chr19:11514221:11519075:cluster10259	chr19:11514221:11529062:cluster10259	chr19:11519193:11525640:cluster10259	chr19:11519193:11528745:cluster10259	chr19:11519193:11529062:cluster10259	chr19:11525737:11529062:cluster10259
GTEX-1QP66	6	303	3	142	103	0	3	138	3
GTEX-132NY	1	146	3	112	4	1	2	133	0
GTEX-13OVL	2	149	1	104	7	0	1	121	0
GTEX-UPJH	1	100	1	88	3	0	1	81	0
GTEX-QEG4	2	86	2	66	3	0	1	69	1
GTEX-14JIY	1	122	0	91	5	0	0	94	2
GTEX-147F3	3	130	4	101	3	0	0	123	0
GTEX-1KD4Q	3	186	4	116	7	2	1	161	1
GTEX-14PJO	3	152	1	118	4	0	1	112	2
GTEX-14A6H	5	167	3	116	7	2	2	150	2
GTEX-13PL7	3	159	1	120	5	1	0	144	0
GTEX-13W46	8	197	2	143	8	2	1	183	1
GTEX-13OW5	1	94	0	59	6	0	1	80	0
GTEX-1K9T9	2	124	2	89	8	2	1	91	3
GTEX-1GN1V	6	197	2	160	7	1	3	160	1
GTEX-14C38	4	127	4	90	1	1	0	105	1
GTEX-1C475	7	193	3	133	6	2	0	173	2
GTEX-XBED	4	127	3	117	9	1	1	113	0
GTEX-U4B1	3	127	0	105	4	0	0	101	1
GTEX-1F75W	4	192	3	131	6	0	2	177	0
GTEX-1AX9I	2	164	0	126	7	0	2	122	1
GTEX-ZVT2	3	186	4	116	10	1	0	155	0
GTEX-14JG6	3	152	3	106	8	0	0	122	0
GTEX-1C64N	4	204	2	136	8	4	2	167	2
GTEX-16YQH	3	231	2	186	11	0	1	190	1
GTEX-ZPIC	3	90	3	73	1	0	1	76	0
GTEX-1CB4G	2	108	3	83	6	0	0	99	0
GTEX-15SHU	5	187	1	138	10	2	1	162	1
GTEX-11TTK	2	93	1	77	4	0	1	92	1
GTEX-14753	1	127	1	89	8	1	0	90	2
GTEX-11DXX	4	200	6	138	11	2	0	143	2
GTEX-13FTX	3	235	2	154	15	2	0	193	2
GTEX-14DAR	1	178	1	117	8	0	0	148	1
