individual	chr19:3933697:3936546:cluster59752	chr19:3933697:3936575:cluster59752	chr19:3933820:3936575:cluster59752	chr19:3936665:3937225:cluster59752	chr19:3936665:3937240:cluster59752	chr19:3936978:3937240:cluster59752	chr19:3937288:3938565:cluster59752	chr19:3937288:3938603:cluster59752	chr19:3938759:3939900:cluster59752	chr19:3938759:3941071:cluster59752	chr19:3938759:3942083:cluster59752	chr19:3938806:3939900:cluster59752	chr19:3938806:3941071:cluster59752	chr19:3939971:3941071:cluster59752	chr19:3939971:3942083:cluster59752	chr19:3941173:3942083:cluster59752	chr19:3941177:3942083:cluster59752	chr19:3941918:3942083:cluster59752
GTEX-1GTWX	247	893	3	28	1398	0	0	1220	1320	156	14	2	0	1289	34	19	1188	0
GTEX-1IDJD	2	1461	12	43	2004	1	0	1822	1872	236	54	19	1	1739	149	19	1590	3
GTEX-1IDJC	1	664	7	10	771	0	0	704	761	83	8	5	0	698	63	9	662	0
GTEX-132NY	0	1705	11	25	1693	0	1	1703	1674	173	9	4	1	1618	49	10	1611	0
GTEX-14ABY	0	1509	3	22	1490	0	0	1343	1240	158	9	1	0	1329	42	14	1192	0
GTEX-13OVL	0	1437	6	33	1442	0	1	1322	1330	169	13	6	0	1364	39	10	1324	3
GTEX-139TU	2	3004	23	69	3111	2	6	3090	3114	326	26	6	0	3202	143	39	3076	5
GTEX-ZYY3	0	894	3	14	906	1	0	898	826	146	25	9	3	807	43	21	802	4
GTEX-UPJH	0	386	0	5	375	0	0	332	395	46	5	3	0	314	17	2	297	0
GTEX-QEG4	0	192	1	3	183	0	0	167	189	20	2	0	0	189	9	2	200	0
GTEX-14JIY	0	458	3	5	470	0	0	464	490	58	4	0	0	454	22	2	466	1
GTEX-R55E	0	399	0	8	382	0	0	384	417	31	0	0	0	401	23	0	441	3
GTEX-147F3	0	1707	5	26	1771	0	5	1623	1592	147	11	5	0	1565	70	9	1505	2
GTEX-YEC4	0	879	2	9	928	0	1	858	904	122	7	8	3	875	29	8	807	0
GTEX-SUCS	0	1087	10	37	1369	0	4	1479	1327	189	12	21	3	1475	80	9	1542	3
GTEX-ZYT6	0	910	1	18	962	0	1	910	907	63	1	6	0	875	32	5	767	1
GTEX-1QW4Y	0	1437	6	18	1674	0	1	1653	1675	74	15	14	0	1574	87	9	1460	2
GTEX-Y8E4	0	648	1	10	585	0	3	596	617	94	12	0	0	565	33	6	594	0
GTEX-1KD4Q	0	907	4	19	1108	0	0	1105	1165	98	7	2	0	1113	33	6	1066	1
GTEX-12WSM	0	886	2	14	877	0	2	876	858	58	6	2	0	907	42	7	876	0
GTEX-15EO6	0	1044	2	29	1182	0	1	1108	962	205	12	2	1	923	41	20	1015	5
GTEX-YF7O	0	212	0	5	195	0	1	180	198	27	2	4	0	195	13	2	204	0
GTEX-1QMI2	0	2561	12	67	3048	1	0	2785	3175	317	33	9	0	2719	138	39	2630	0
GTEX-14PJO	0	333	0	9	333	0	0	317	314	45	3	0	0	346	20	7	307	0
GTEX-WHPG	0	1904	4	28	1997	0	3	2046	1992	283	37	7	2	2082	97	43	2095	7
GTEX-1AX8Z	0	1401	6	64	1706	1	4	1923	1859	228	34	24	0	1931	115	63	1679	8
GTEX-1KXAM	0	152	2	7	175	0	0	151	130	26	2	1	0	113	6	2	126	0
GTEX-14A6H	0	440	3	9	499	0	0	480	509	90	12	3	0	448	38	12	467	0
GTEX-11EQ9	1	580	4	22	668	0	1	663	585	64	14	18	2	583	41	2	556	0
GTEX-13OVJ	0	1000	5	19	1061	0	1	1003	1072	153	3	2	0	1121	27	11	1086	0
GTEX-ZQG8	0	2172	7	62	2275	4	5	2359	2188	324	34	22	3	2079	168	9	2125	7
GTEX-U3ZG	0	32	0	0	33	0	0	41	42	1	1	0	0	36	2	0	48	0
GTEX-1K9T9	0	702	1	7	874	1	1	828	825	143	25	2	2	750	42	1	832	4
GTEX-13NZA	0	448	4	7	475	0	0	485	491	52	3	2	0	532	17	5	495	0
GTEX-1GN1V	0	3808	21	94	4583	1	4	4126	4669	558	41	31	1	4595	158	18	4063	0
GTEX-14C38	0	2068	8	28	2115	1	1	1981	1932	272	14	12	3	1877	50	11	1756	4
GTEX-1C475	0	837	4	19	910	0	0	925	1016	99	10	8	0	978	51	8	919	3
GTEX-XBED	0	612	4	11	686	0	1	700	833	60	6	7	1	766	38	3	728	0
GTEX-14BMV	0	2509	17	41	2565	1	1	2398	2579	260	14	9	1	2568	70	21	2424	9
GTEX-U4B1	0	806	3	21	954	0	2	994	903	200	8	11	5	956	23	7	1104	2
GTEX-1F75W	0	887	6	23	1090	0	3	1184	1260	131	9	1	1	1344	48	11	1289	5
GTEX-146FR	0	329	1	6	380	0	0	310	277	59	6	4	0	273	22	2	293	0
GTEX-1AX9I	0	1127	3	26	1233	0	1	1151	1208	124	11	3	0	1258	59	8	1203	0
GTEX-1B8KE	0	145	0	2	162	0	0	160	171	22	2	0	0	134	4	5	161	0
GTEX-1KANA	0	838	3	23	884	0	1	895	941	177	14	10	0	1004	44	13	929	1
GTEX-R55D	0	102	1	3	109	0	0	106	114	14	2	0	0	141	8	2	95	0
GTEX-Y5V5	0	251	0	2	274	0	1	281	289	38	7	2	1	272	15	3	278	2
GTEX-16YQH	0	580	5	6	708	0	0	692	754	63	7	2	0	715	24	3	700	0
GTEX-14PQA	0	26	0	0	33	0	0	25	29	2	0	0	0	24	0	0	16	0
GTEX-S33H	0	697	1	19	832	0	0	783	819	127	18	1	0	797	34	3	767	1
GTEX-13JVG	0	27	0	0	22	0	0	27	25	2	0	0	0	32	2	0	34	0
GTEX-ZPIC	0	1097	5	26	1181	2	4	1209	1373	156	8	1	0	1297	40	26	1286	4
GTEX-1CB4G	1	823	7	16	943	0	0	842	838	115	4	1	0	763	26	0	776	4
GTEX-SIU8	0	618	3	15	747	0	0	843	759	112	5	0	0	810	23	3	862	0
