individual	chr16:57452936:57456504:cluster27702	chr16:57452936:57458246:cluster27702	chr16:57452936:57459565:cluster27702	chr16:57456626:57456931:cluster27702	chr16:57456646:57456931:cluster27702	chr16:57457015:57457503:cluster27702	chr16:57457015:57458246:cluster27702	chr16:57457015:57459565:cluster27702	chr16:57457229:57457503:cluster27702	chr16:57457229:57458246:cluster27702	chr16:57457849:57458246:cluster27702	chr16:57458350:57459565:cluster27702
GTEX-XBEC	195	100	43	19	228	3	190	0	3	4	10	164
GTEX-14ABY	537	3	12	2	627	3	475	7	3	1	4	281
GTEX-ZYY3	296	2	2	0	413	3	289	1	0	4	3	176
GTEX-UPJH	183	1	1	0	216	0	200	1	0	0	2	109
GTEX-11P82	505	5	0	1	636	9	434	6	7	6	14	295
GTEX-QEG4	218	1	2	0	267	0	202	2	1	0	1	123
GTEX-14JIY	371	4	1	0	450	4	362	6	1	8	8	212
GTEX-SUCS	262	0	1	0	334	0	241	3	0	3	5	146
GTEX-12WSM	374	0	1	0	444	1	338	2	1	2	6	198
GTEX-1CAMR	262	2	0	1	330	2	277	3	1	3	12	166
GTEX-14A6H	224	2	4	1	285	2	234	3	0	4	2	144
GTEX-13PL7	176	0	0	0	196	0	148	0	2	0	4	110
GTEX-13W46	256	2	2	0	300	2	239	3	4	3	17	142
GTEX-13OW5	191	1	2	0	214	3	204	0	3	2	8	102
GTEX-U3ZG	188	1	0	0	184	0	144	4	0	0	2	121
GTEX-13NZA	390	3	3	0	474	2	355	2	0	4	7	220
GTEX-14C38	237	0	1	0	241	3	205	0	0	0	5	132
GTEX-1C475	394	1	2	1	438	1	364	5	1	4	2	245
GTEX-XBED	213	2	3	0	245	0	241	2	0	1	1	141
GTEX-XPT6	435	6	7	1	473	0	432	1	0	1	13	299
GTEX-1F75W	343	1	0	1	367	2	369	8	2	2	8	283
GTEX-1AX9I	355	3	3	1	433	0	397	8	1	4	10	251
GTEX-ZVT2	265	0	3	0	297	4	237	0	2	3	7	152
