individual	chr15:88887345:88887426:cluster36582	chr15:88887345:88892974:cluster36582	chr15:88887345:88895459:cluster36582	chr15:88887345:88901551:cluster36582	chr15:88893112:88895459:cluster36582	chr15:88899532:88899656:cluster36582	chr15:88899532:88900657:cluster36582	chr15:88899532:88901551:cluster36582	chr15:88899811:88900657:cluster36582	chr15:88899811:88901551:cluster36582	chr15:88899811:88901571:cluster36582	chr15:88900716:88901551:cluster36582	chr15:88900758:88901551:cluster36582
GTEX-1AMEY	0	0	1	0	0	631	26	656	18	591	1	5	32
GTEX-1IDJC	5	4	7	0	4	1350	3	140	42	1271	7	6	35
GTEX-132NY	0	2	5	0	2	427	0	39	8	463	2	1	9
GTEX-11P82	0	0	0	0	0	1387	4	119	54	1415	5	5	38
GTEX-QEG4	0	2	0	0	0	287	0	22	7	281	0	2	3
GTEX-YEC4	1	1	9	0	0	605	0	46	7	521	3	2	12
GTEX-ZYT6	0	0	3	0	0	211	0	24	3	193	0	0	5
GTEX-Y8E4	0	0	1	0	0	635	0	43	18	679	3	2	19
GTEX-1KD4Q	0	0	2	0	0	328	0	31	5	314	1	1	7
GTEX-12WSM	0	0	3	0	0	393	1	32	15	396	3	1	14
GTEX-YF7O	3	1	2	0	0	1245	6	115	39	1326	4	10	33
GTEX-13X6I	0	2	13	0	1	729	0	56	25	689	1	0	16
GTEX-WHPG	0	0	1	0	2	544	0	43	15	560	1	1	9
GTEX-1KXAM	0	0	5	0	0	768	7	111	22	790	5	7	25
GTEX-11EQ9	2	1	1	0	0	654	1	44	18	702	0	11	18
GTEX-13W46	0	0	3	4	0	479	0	46	9	551	3	3	17
GTEX-ZQG8	1	1	0	0	1	1785	3	100	56	1808	12	12	47
GTEX-1F88E	2	0	9	5	0	891	0	92	16	952	3	2	14
GTEX-ZF28	1	0	6	1	0	843	0	51	17	817	3	2	13
GTEX-14BMV	0	0	1	0	0	161	0	22	3	193	0	1	0
GTEX-U4B1	1	2	5	0	0	729	2	41	10	732	3	9	12
GTEX-1F75W	0	2	3	0	0	364	0	51	7	392	0	0	4
GTEX-1AX9I	0	0	0	0	0	273	0	20	7	264	0	3	7
GTEX-Y5V5	1	0	7	0	3	773	0	35	27	715	2	2	14
GTEX-1C64N	0	0	3	1	0	376	2	47	6	389	0	2	11
GTEX-16YQH	0	0	1	0	0	353	1	19	9	361	2	2	3
GTEX-1CB4G	0	1	0	0	1	235	0	27	6	216	0	1	5
GTEX-SIU8	2	1	0	1	2	378	1	30	7	364	0	3	7
GTEX-P78B	2	0	0	0	0	384	0	31	8	410	3	6	6
GTEX-1LB8K	0	0	0	0	0	233	0	21	3	202	0	0	3
GTEX-15SHU	4	1	2	0	2	854	0	70	20	848	2	11	19
GTEX-1LC47	0	1	12	2	0	1505	2	97	26	1492	2	4	23
GTEX-11DXX	0	1	5	5	2	1405	4	183	17	1444	4	3	26
GTEX-1MJK3	0	1	3	0	2	680	6	55	26	724	6	8	21
GTEX-15UF6	1	0	8	1	1	851	0	85	14	796	3	2	13
GTEX-RWS6	4	1	6	0	0	975	0	64	47	997	2	8	19
GTEX-ZDXO	0	0	4	0	0	221	0	15	2	204	3	0	6
GTEX-131XW	0	0	3	0	0	227	0	26	6	233	3	1	1
GTEX-1399R	0	0	0	0	0	356	1	33	11	378	3	1	3
GTEX-15UF7	0	0	5	1	1	736	1	94	9	701	0	0	10
GTEX-113JC	0	0	0	0	0	276	0	29	4	308	1	0	4
