individual	chr1:1312137:1312226:cluster38175	chr1:1312147:1312226:cluster38175	chr1:1312368:1312440:cluster38175	chr1:1312368:1312593:cluster38175	chr1:1312501:1312593:cluster38175
GTEX-1R9PO	38	105	143	1	138
GTEX-14ABY	0	85	93	1	100
GTEX-13OVL	0	90	96	3	88
GTEX-ZYY3	0	187	179	4	188
GTEX-11P82	1	238	209	3	224
GTEX-SUCS	0	216	210	7	225
GTEX-12WSM	0	86	85	0	86
GTEX-15EO6	0	164	186	4	173
GTEX-YF7O	0	112	126	3	134
GTEX-1KXAM	0	194	198	3	192
GTEX-13OVJ	0	133	138	3	138
GTEX-ZQG8	0	309	283	7	294
GTEX-13NZA	0	116	102	1	123
GTEX-ZF28	0	142	124	3	126
GTEX-14BMV	0	99	103	1	102
GTEX-U4B1	0	127	117	1	112
GTEX-146FR	0	129	109	2	117
GTEX-1RQEC	0	195	175	2	174
GTEX-1C64N	0	225	222	7	245
GTEX-13JVG	0	146	138	4	147
GTEX-ZPIC	0	58	60	0	61
GTEX-1122O	0	94	103	3	104
GTEX-ZAB5	0	123	123	4	110
GTEX-1LB8K	0	117	123	3	137
GTEX-14753	0	109	101	4	99
GTEX-13PL6	0	135	123	2	125
GTEX-P4PP	0	210	202	7	214
GTEX-13RTK	0	80	76	1	79
GTEX-PWN1	0	47	46	1	48
GTEX-1QP6S	0	138	138	1	151
GTEX-131YS	0	121	124	1	119
GTEX-147F4	0	96	102	1	100
GTEX-13W3W	0	128	122	4	139
GTEX-11VI4	0	83	86	1	81
GTEX-12ZZY	0	95	90	2	92
GTEX-1JKYN	0	60	63	1	56
GTEX-XBEW	0	217	244	5	234
GTEX-R53T	0	109	95	1	102
GTEX-145LU	0	112	103	2	94
GTEX-1LSNL	0	108	114	1	117
GTEX-ZDYS	0	73	84	3	83
GTEX-1NUQO	0	143	145	1	140
GTEX-1GF9W	0	103	106	1	102
GTEX-1PPH7	0	218	228	6	220
GTEX-1GN1W	0	115	111	2	120
GTEX-1RAZR	0	178	190	3	179
GTEX-OHPL	0	112	107	4	114
GTEX-1QPFJ	0	261	261	7	268
GTEX-TSE9	0	158	154	1	154
GTEX-ZYFG	0	136	134	2	140
GTEX-TMMY	0	293	270	5	277
GTEX-PLZ5	0	123	112	1	110
GTEX-SN8G	0	164	164	3	191
GTEX-QEL4	0	86	73	3	83
GTEX-T5JC	0	183	198	5	204
GTEX-ZF2S	0	167	145	3	145
GTEX-WEY5	0	296	292	4	312
GTEX-14BMU	0	89	94	1	105
GTEX-P44G	0	73	84	2	89
GTEX-14LZ3	0	173	169	5	160
GTEX-R3RS	0	181	185	6	203
GTEX-1A3MX	0	181	168	6	196
GTEX-XOT4	0	154	145	5	158
GTEX-11GSO	0	98	102	1	97
GTEX-1FIGZ	0	85	81	1	77
GTEX-WRHK	0	131	137	4	151
GTEX-13FTW	0	86	84	1	74
GTEX-13RTL	0	183	183	6	180
GTEX-ZZ64	0	83	98	2	97
GTEX-11OF3	0	130	147	4	152
GTEX-1P4AB	0	188	167	4	170
GTEX-11UD2	0	133	115	3	137
GTEX-1KWVE	0	99	108	1	109
GTEX-17EVQ	0	188	174	4	169
GTEX-Y111	0	117	114	4	133
GTEX-14BIL	0	98	108	1	112
GTEX-13FH7	0	73	64	2	66
GTEX-Y3I4	0	93	99	1	96
GTEX-O5YT	0	119	122	4	125
GTEX-13OVH	0	159	158	2	152
GTEX-1EU9M	0	149	136	4	161
GTEX-U3ZN	0	263	257	2	265
GTEX-145MO	0	146	163	2	157
GTEX-13N1W	0	102	99	1	95
GTEX-16MT8	1	320	291	4	289
GTEX-YJ8O	0	83	82	1	78
GTEX-Y9LG	0	156	151	4	151
GTEX-1ICLZ	0	171	161	3	154
GTEX-V955	0	139	139	2	150
GTEX-11LCK	0	83	72	2	71
GTEX-XBEC	0	99	97	2	99
GTEX-1QAET	0	160	164	5	162
GTEX-1RB15	0	152	148	2	152
GTEX-13PVR	0	82	73	1	77
GTEX-ZTPG	0	157	168	2	154
GTEX-QVUS	0	211	200	3	219
GTEX-132Q8	0	275	232	7	267
GTEX-11TT1	0	38	39	1	49
GTEX-1GZ4I	0	163	162	5	162
GTEX-13OW8	0	95	90	2	79
GTEX-R55G	0	52	56	2	59
GTEX-145MH	0	78	71	1	84
GTEX-13X6H	0	121	114	1	133
GTEX-1LVAM	0	164	152	5	160
GTEX-15ER7	0	291	296	5	320
GTEX-13OW6	0	88	89	2	106
GTEX-1R7EU	0	156	164	4	168
GTEX-WFON	0	154	160	4	177
GTEX-T6MN	0	52	52	2	45
GTEX-14PJ2	0	102	93	2	98
GTEX-1JN1M	1	197	198	3	216
GTEX-15SB6	0	172	190	3	196
GTEX-144GL	0	112	108	2	110
GTEX-13RTJ	0	115	110	3	133
GTEX-14PJ6	0	132	144	2	139
GTEX-1CB4E	0	87	99	3	101
GTEX-1B8KZ	0	155	158	2	149
GTEX-ZVZP	0	165	173	4	184
GTEX-VUSG	0	152	138	1	151
GTEX-13QIC	0	102	93	2	112
GTEX-12WSL	0	70	71	1	83
GTEX-1GPI6	0	127	121	1	122
