individual	chr11:63998687:63998838:cluster65992	chr11:63998687:63998955:cluster65992	chr11:63998872:63998955:cluster65992	chr11:63998872:63999331:cluster65992	chr11:63999000:63999331:cluster65992	chr11:63999036:63999331:cluster65992	chr11:63999076:63999331:cluster65992	chr11:63999196:63999331:cluster65992
GTEX-1LG7Y	248	435	385	0	42	1258	14	15
GTEX-132NY	489	8	486	3	10	559	5	8
GTEX-14ABY	519	10	557	5	22	658	6	13
GTEX-13OVL	393	3	401	0	8	447	7	6
GTEX-139TU	513	6	461	3	18	534	14	8
GTEX-11P82	554	10	541	1	13	612	3	6
GTEX-14JIY	473	4	460	0	17	532	2	6
GTEX-147F3	405	5	412	1	22	512	3	4
GTEX-YB5E	397	4	377	3	13	390	6	11
GTEX-SUCS	417	3	381	1	11	428	9	7
GTEX-ZYT6	518	9	478	2	24	626	4	8
GTEX-Y8E4	474	4	445	6	16	527	8	10
GTEX-1KD4Q	567	8	589	1	14	755	6	13
GTEX-12WSM	359	3	323	0	17	402	5	6
GTEX-YF7O	239	6	258	0	4	300	3	5
GTEX-WHPG	480	6	432	1	22	467	6	9
GTEX-13PL7	331	4	307	1	15	335	1	6
GTEX-11EQ9	312	3	290	1	10	345	5	9
GTEX-13W46	436	6	392	1	21	526	6	12
GTEX-1F88E	599	11	565	1	16	690	9	14
GTEX-U3ZG	532	6	480	2	11	624	11	14
GTEX-13NZA	395	4	343	0	18	449	1	6
GTEX-14C38	268	5	244	0	9	318	2	4
GTEX-1C475	371	5	350	0	10	438	9	4
GTEX-XBED	373	5	358	1	13	433	5	5
GTEX-ZF28	322	9	332	1	11	350	5	7
GTEX-14BMV	460	13	468	3	20	573	2	10
GTEX-U4B1	274	1	303	2	9	340	5	5
GTEX-146FR	269	1	263	1	6	287	3	4
GTEX-1AX9I	402	4	393	2	9	480	5	10
GTEX-1B8KE	234	0	206	0	9	277	5	6
GTEX-14JG6	323	5	305	1	19	346	2	7
GTEX-R55D	414	2	353	1	18	420	6	5
GTEX-1RQEC	870	10	787	4	27	1075	6	10
GTEX-Y5V5	384	4	320	0	10	412	5	5
GTEX-14PQA	543	6	506	4	28	650	13	18
GTEX-P78B	377	7	348	2	10	435	5	0
GTEX-1LB8K	665	12	631	2	24	781	7	17
GTEX-1MJK3	380	2	368	2	17	439	7	12
GTEX-13PL6	466	11	453	1	12	515	2	6
GTEX-12ZZZ	306	3	283	0	11	376	3	6
GTEX-14DAR	338	3	313	1	19	423	6	3
GTEX-1I6K7	575	7	560	4	16	657	10	12
GTEX-131XW	312	5	310	0	11	351	6	7
GTEX-11EMC	414	7	368	1	13	441	6	7
GTEX-1399R	363	4	350	0	16	420	4	5
GTEX-113JC	287	6	274	1	12	359	2	2
GTEX-1PPGY	789	14	779	0	23	985	8	11
GTEX-13CF2	430	5	398	0	13	495	3	3
GTEX-ZXG5	325	5	307	2	10	372	5	12
GTEX-1F75B	503	9	500	3	13	687	8	14
GTEX-1QP6S	780	5	751	4	23	911	6	10
GTEX-11NUK	482	4	458	0	18	589	4	5
GTEX-147F4	561	7	521	2	18	619	4	12
GTEX-13W3W	478	6	456	5	18	567	11	11
GTEX-1AX9K	251	3	244	1	9	298	3	8
GTEX-1B933	405	2	418	1	10	443	5	7
GTEX-1313W	744	12	717	2	33	873	9	15
GTEX-XQ3S	531	8	514	4	13	633	3	10
GTEX-1GMR3	471	5	488	4	21	620	6	11
GTEX-XBEW	828	13	726	4	30	916	14	12
GTEX-183FY	372	4	346	3	14	497	5	6
GTEX-111FC	442	8	451	0	12	524	6	5
GTEX-13X6J	749	5	750	1	27	800	6	12
GTEX-1LNCM	411	5	391	3	18	469	3	11
GTEX-ZDYS	252	3	237	0	8	271	5	10
GTEX-ZLV1	399	7	371	0	12	469	7	6
GTEX-ZUA1	488	6	454	1	23	540	6	10
GTEX-13FTZ	444	2	399	1	7	484	5	8
GTEX-17EUY	376	8	362	3	14	429	4	9
GTEX-1LGOU	455	8	406	4	17	560	6	9
GTEX-1L5NE	432	1	407	2	14	528	5	13
GTEX-11EM3	328	7	321	2	8	443	5	10
GTEX-1MCYP	433	3	453	2	20	522	5	8
GTEX-13FTY	388	6	352	3	9	438	5	4
GTEX-15ETS	475	6	407	5	13	492	8	7
GTEX-1212Z	439	9	440	0	14	571	11	13
GTEX-1F5PL	543	7	507	1	17	695	9	10
GTEX-1GPI7	430	3	478	2	17	572	7	7
GTEX-Y8DK	707	8	647	1	17	839	14	13
GTEX-W5WG	454	7	452	0	16	490	8	6
GTEX-1ICG6	438	5	439	1	21	552	7	10
GTEX-1N2DW	463	6	483	1	17	606	3	9
GTEX-13O3O	471	2	442	3	14	545	9	5
GTEX-1K2DA	829	11	776	2	38	1017	14	19
GTEX-18D9A	565	7	544	3	24	639	10	11
GTEX-1LH75	315	6	323	0	7	407	5	7
GTEX-ZF2S	441	6	434	1	11	533	5	9
GTEX-WEY5	1108	22	1042	6	37	1300	23	12
GTEX-1399T	360	5	334	2	11	425	3	6
GTEX-131XF	197	3	177	0	5	244	1	4
GTEX-13N2G	834	7	830	7	38	922	3	16
GTEX-146FQ	600	9	594	3	35	731	7	7
GTEX-13QBU	238	3	222	1	5	228	2	5
GTEX-13G51	483	6	435	2	16	521	8	3
GTEX-R3RS	311	3	304	3	13	340	4	7
GTEX-XOT4	475	8	472	3	18	595	5	10
GTEX-11GSO	270	4	273	0	9	311	5	4
GTEX-15RIG	620	5	590	0	32	770	11	15
GTEX-1E1VI	317	4	311	1	10	356	2	2
GTEX-11ZVC	408	6	371	2	14	442	0	8
GTEX-13RTL	545	6	513	1	16	673	8	14
GTEX-ZZ64	390	1	367	2	13	471	8	7
GTEX-1C6VR	404	3	399	1	10	459	2	5
GTEX-1JMQI	455	7	433	2	16	564	4	10
GTEX-11OF3	622	3	594	2	21	736	3	6
GTEX-1KWVE	668	10	624	2	27	781	8	12
GTEX-ZF3C	549	11	476	3	19	593	12	15
GTEX-Y111	463	5	396	0	13	550	4	6
GTEX-1GMRU	451	5	445	3	17	571	5	11
GTEX-1A3MW	238	3	227	0	8	278	4	5
GTEX-1269C	388	4	377	1	13	461	1	3
GTEX-1192X	314	5	289	0	12	389	5	11
GTEX-1LSNM	584	9	586	0	22	763	9	5
GTEX-13OVH	379	8	355	2	7	442	4	5
GTEX-11ZTS	297	9	281	1	15	326	4	4
GTEX-16BQI	529	5	528	1	22	623	14	8
GTEX-117YW	451	9	456	3	13	565	10	8
GTEX-111VG	495	7	470	1	9	544	3	8
GTEX-1QEPI	621	13	595	4	16	767	7	9
GTEX-ZC5H	212	3	219	0	10	235	3	4
GTEX-Y9LG	495	8	471	6	22	563	4	6
GTEX-1EWIQ	468	8	446	3	11	602	6	6
GTEX-Y5LM	383	4	378	4	12	426	3	5
GTEX-17KNJ	370	2	323	1	10	407	5	10
GTEX-1A8FM	393	5	404	3	12	499	1	11
GTEX-XPVG	640	9	628	3	28	754	12	2
GTEX-ZT9X	316	6	302	2	20	364	4	6
GTEX-1AMEY	568	4	529	1	23	656	5	13
GTEX-1IDJF	549	7	498	1	27	640	6	7
GTEX-11LCK	247	4	230	0	7	313	6	6
GTEX-14E6D	568	7	572	0	18	640	8	10
GTEX-1S82Y	782	18	779	7	27	969	14	16
GTEX-XBEC	474	6	473	3	16	544	8	4
GTEX-15CHC	627	2	597	1	19	687	8	11
GTEX-13O21	326	2	313	1	13	382	8	5
GTEX-13PVR	176	2	171	1	8	232	4	3
GTEX-PLZ6	128	2	116	1	3	153	2	0
GTEX-1399U	359	2	313	0	13	404	7	11
GTEX-YB5K	399	2	394	3	21	463	3	9
GTEX-13SLW	358	6	331	1	14	389	4	9
GTEX-15CHR	497	7	504	1	22	563	4	6
GTEX-18A7A	451	12	472	3	16	561	5	3
GTEX-ZAK1	359	6	342	4	11	436	2	5
GTEX-1GZ4I	728	10	675	5	21	800	5	9
GTEX-16XZY	254	6	243	1	13	266	1	6
GTEX-13X6H	254	2	239	0	9	255	2	5
GTEX-11GSP	393	4	353	2	8	475	4	8
GTEX-1F5PK	550	8	496	2	16	635	6	10
GTEX-1A3MV	661	14	621	3	22	786	10	6
GTEX-1IDJE	442	7	423	3	28	496	4	9
GTEX-144GM	413	4	384	0	18	412	5	10
GTEX-1LVAM	586	8	615	0	24	810	8	14
GTEX-14PJ5	336	2	339	1	11	364	7	6
GTEX-133LE	240	7	237	0	6	291	5	5
