individual	chr7:80546267:80646088:cluster50851	chr7:80602379:80646088:cluster50851	chr7:80602379:80646092:cluster50851	chr7:80602379:80656540:cluster50851	chr7:80604448:80646088:cluster50851	chr7:80624190:80646088:cluster50851	chr7:80637003:80646088:cluster50851	chr7:80638746:80639844:cluster50851	chr7:80638746:80646088:cluster50851	chr7:80639929:80646088:cluster50851	chr7:80646860:80656540:cluster50851	chr7:80646860:80656592:cluster50851	chr7:80646860:80662990:cluster50851	chr7:80656700:80661063:cluster50851	chr7:80656700:80663079:cluster50851	chr7:80661210:80662973:cluster50851	chr7:80661210:80662990:cluster50851	chr7:80661210:80664406:cluster50851	chr7:80663169:80664406:cluster50851
GTEX-12WSJ	0	2	1	0	0	0	0	0	8	0	43	1	0	24	9	0	22	1	40
GTEX-1IDJC	9	108	4	0	0	9	11	1	249	2	545	11	0	518	0	4	475	2	526
GTEX-132NY	1	29	1	1	0	0	7	0	32	0	101	1	0	112	0	1	83	0	118
GTEX-ZYY3	1	16	0	0	0	1	0	0	52	0	86	1	0	95	0	0	104	0	105
GTEX-UPJH	1	10	1	0	0	0	1	1	23	0	61	1	0	49	0	1	57	0	65
GTEX-QEG4	0	24	2	0	0	2	7	0	74	0	188	0	0	135	0	1	139	1	167
GTEX-14JIY	0	100	1	0	0	1	10	3	160	4	354	4	0	318	0	9	266	0	374
GTEX-YEC4	3	42	1	2	0	1	2	0	64	0	162	0	0	149	0	0	141	1	175
GTEX-Y8E4	7	98	0	1	0	8	3	0	140	1	346	0	0	297	0	4	279	3	322
GTEX-1KD4Q	2	94	1	2	0	4	18	8	157	2	419	3	0	379	0	4	408	4	478
GTEX-WHPG	2	40	0	0	0	2	4	0	42	1	104	0	0	100	0	1	108	0	115
GTEX-1KXAM	1	48	1	0	0	0	6	1	99	0	221	1	0	250	0	1	227	2	271
GTEX-14A6H	7	44	2	0	0	3	9	0	95	1	238	5	0	226	0	0	195	1	285
GTEX-11EQ9	4	46	1	1	0	3	2	1	43	2	170	1	0	160	0	1	140	1	172
GTEX-13OVJ	1	41	4	0	0	0	3	0	37	0	136	0	0	118	0	1	117	1	158
GTEX-13W46	2	48	1	0	0	4	2	0	82	0	225	1	0	172	0	2	159	0	206
GTEX-ZQG8	1	23	2	0	0	5	4	1	54	1	142	0	0	138	0	3	137	1	154
GTEX-U3ZG	0	51	8	0	0	3	5	0	73	0	194	4	0	205	0	0	188	1	245
GTEX-1K9T9	0	31	3	0	0	5	5	2	48	1	142	0	0	130	0	0	113	1	141
GTEX-13NZA	0	52	0	0	0	1	3	1	53	1	143	0	0	159	0	2	133	1	224
GTEX-14BMV	2	55	2	0	0	6	7	0	65	3	180	3	0	143	0	0	159	0	210
GTEX-U4B1	3	75	0	0	0	2	2	0	78	0	206	0	0	162	0	1	145	2	198
GTEX-1F75W	2	56	0	0	0	2	4	0	66	1	190	2	0	189	0	0	182	0	200
GTEX-146FR	2	34	1	1	0	1	1	0	57	0	126	0	0	99	0	0	85	0	110
GTEX-ZVT2	0	13	0	0	0	1	1	0	38	0	74	1	0	73	0	0	71	0	91
GTEX-14JG6	0	48	0	1	0	5	1	0	55	0	156	3	0	154	0	1	123	2	162
GTEX-1KANA	0	87	1	0	0	2	8	0	94	1	197	2	0	209	0	0	210	3	225
GTEX-R55D	2	42	0	0	0	2	7	1	135	0	307	1	0	232	0	0	243	2	378
GTEX-X4XX	3	59	0	0	0	3	5	0	60	0	221	0	0	170	0	2	143	0	171
GTEX-1RQEC	3	197	4	1	0	1	16	3	312	8	658	1	0	630	0	2	534	1	681
GTEX-1C64N	2	72	1	0	0	3	10	0	107	0	286	0	0	275	0	1	259	0	291
GTEX-SIU8	1	86	2	0	0	6	17	4	145	7	352	6	0	327	0	1	302	1	478
GTEX-1LB8K	1	159	1	2	0	5	9	2	172	1	447	6	0	460	0	3	402	0	530
GTEX-17MFQ	1	22	1	1	0	0	3	1	90	1	153	1	0	165	0	1	155	3	197
GTEX-T5JW	0	64	0	0	0	5	5	0	105	2	184	3	0	190	0	1	242	1	273
GTEX-1LC47	1	16	0	0	0	0	3	0	70	0	145	0	0	133	0	1	125	0	140
GTEX-11DXX	1	40	1	0	0	0	1	0	77	0	218	0	0	187	0	0	165	0	206
GTEX-139T6	2	37	3	0	0	0	0	0	39	0	109	0	0	131	0	0	92	1	132
GTEX-13PL6	2	104	2	0	0	4	8	2	146	2	334	1	0	272	1	1	287	2	313
GTEX-12ZZZ	2	82	0	0	0	1	4	2	88	3	301	0	0	233	0	0	229	2	318
GTEX-13FTX	2	28	0	0	0	2	1	0	70	0	146	0	0	109	0	3	115	0	145
GTEX-14DAR	1	23	1	0	0	2	0	0	21	0	93	1	0	61	0	0	76	0	97
GTEX-1I6K7	2	51	2	1	0	1	4	0	92	0	181	1	0	166	0	2	157	1	217
GTEX-131XW	1	60	1	1	0	2	4	0	89	1	239	6	0	219	0	0	179	0	233
GTEX-11EMC	3	58	2	0	0	3	4	0	101	0	265	0	0	210	0	0	210	1	224
GTEX-15UF7	1	50	4	0	1	3	5	0	108	0	201	0	0	184	0	0	158	3	209
GTEX-113JC	5	79	2	0	0	8	8	0	135	1	307	4	0	291	0	3	312	1	343
GTEX-13CF2	0	84	0	1	0	2	7	2	115	1	342	0	0	295	0	3	273	1	325
GTEX-13RTK	1	21	1	0	0	1	0	0	47	0	110	4	0	93	0	0	98	0	130
GTEX-1A32A	3	117	2	0	0	3	6	0	225	6	473	4	0	403	0	0	405	0	469
GTEX-14PJ4	2	48	1	0	0	1	2	0	52	0	164	1	0	166	0	0	126	2	161
GTEX-1F75B	2	25	0	0	0	2	4	0	71	0	174	0	0	129	0	0	111	2	148
GTEX-11NUK	3	93	0	0	0	6	9	3	153	3	349	0	0	283	0	0	290	0	366
GTEX-131YS	0	93	3	1	0	0	3	0	156	3	365	1	0	329	0	5	295	0	371
GTEX-1AX9K	4	31	3	0	0	0	0	0	65	0	143	1	0	123	0	1	96	0	155
GTEX-1B933	0	180	5	3	0	8	8	3	207	3	559	3	0	472	0	4	462	0	603
GTEX-XUW1	2	24	1	0	0	1	3	0	54	0	122	0	0	103	0	0	102	0	102
GTEX-1GZ2Q	7	237	6	1	0	2	8	0	212	1	618	1	0	591	0	2	534	0	637
GTEX-1313W	5	280	4	3	0	19	20	4	289	10	767	6	0	679	0	2	621	3	765
GTEX-12ZZY	0	124	3	0	0	2	13	3	148	3	353	2	0	316	0	1	353	0	346
GTEX-1C6WA	7	133	2	1	0	1	6	0	166	0	445	1	0	410	0	0	359	4	494
GTEX-XUZC	0	15	1	0	0	1	1	0	26	0	73	0	0	68	0	0	66	1	83
GTEX-111FC	2	97	2	3	0	2	7	0	132	2	349	2	0	329	0	1	246	0	384
GTEX-1LSNL	1	141	1	0	0	2	4	3	214	5	485	5	0	443	0	6	427	0	487
GTEX-1S83E	8	52	0	0	0	7	11	4	157	0	316	3	0	298	0	1	312	2	312
GTEX-ZDYS	0	21	0	0	0	1	3	0	36	0	78	2	0	79	0	0	94	1	79
GTEX-ZLV1	0	32	0	0	0	8	4	0	93	0	222	0	0	196	0	1	197	1	230
GTEX-17EUY	2	21	0	0	0	0	2	0	49	0	127	0	0	126	0	0	89	0	138
GTEX-1LGOU	1	80	0	1	0	6	2	0	73	0	225	1	0	205	0	0	232	2	237
GTEX-1L5NE	10	100	4	0	0	1	6	1	128	0	331	1	0	284	0	1	298	1	390
GTEX-1I4MK	1	57	3	0	0	2	1	0	154	0	312	3	0	302	0	4	255	1	326
GTEX-11EM3	4	25	0	0	0	1	2	0	48	0	110	3	0	109	0	0	97	0	134
GTEX-1MCYP	2	52	0	0	0	1	5	0	126	0	268	0	0	228	0	2	225	3	271
GTEX-13FTY	1	109	5	2	0	4	8	2	167	7	405	1	0	318	0	1	340	0	367
GTEX-15ETS	3	83	2	0	0	2	5	2	177	1	351	2	0	324	0	2	313	1	410
GTEX-1PPH7	0	41	0	0	0	1	3	0	34	0	140	0	0	125	0	1	129	2	164
GTEX-1212Z	0	114	2	1	0	3	12	0	233	4	522	3	0	402	0	5	436	0	518
GTEX-1GPI7	4	67	0	0	0	1	5	0	91	0	238	2	0	209	0	2	190	0	221
GTEX-1S82P	3	21	0	0	0	0	1	1	41	0	90	1	0	107	0	0	109	1	142
GTEX-OHPL	0	30	2	0	0	0	2	0	47	0	128	3	0	122	0	0	107	0	92
GTEX-12C56	4	100	2	1	0	3	3	0	95	1	259	1	0	247	0	0	228	0	251
GTEX-TSE9	6	35	0	0	0	1	4	0	88	0	175	1	0	171	0	0	157	0	210
GTEX-1ICG6	1	32	1	0	0	1	3	1	38	2	122	0	0	116	0	0	112	1	177
