individual	chr17:8450953:8454796:cluster5301	chr17:8450953:8460009:cluster5301	chr17:8454887:8460009:cluster5301	chr17:8454887:8463320:cluster5301	chr17:8460160:8463320:cluster5301	chr17:8460160:8466930:cluster5301	chr17:8463354:8466930:cluster5301
GTEX-SNMC	96	0	33	56	19	1	68
GTEX-1IDJC	88	0	65	0	51	6	45
GTEX-14ABY	75	1	64	0	56	7	42
GTEX-139TU	87	2	93	0	61	8	68
GTEX-UPJH	44	0	31	0	30	6	32
GTEX-11P82	83	0	66	0	51	6	49
GTEX-R55E	53	0	54	0	31	2	36
GTEX-147F3	56	0	52	0	48	4	42
GTEX-YEC4	86	0	74	0	75	9	58
GTEX-SUCS	126	2	144	1	92	11	91
GTEX-ZYT6	49	0	46	0	35	4	31
GTEX-1QW4Y	90	2	98	0	68	10	65
GTEX-Y8E4	95	0	79	0	73	8	63
GTEX-12WSM	42	0	36	0	31	1	33
GTEX-15EO6	113	0	106	0	84	14	74
GTEX-1QMI2	72	0	70	0	52	6	57
GTEX-1CAMR	64	2	68	0	59	4	47
GTEX-1KXAM	144	3	103	0	86	12	103
GTEX-13PL7	84	0	77	0	55	6	43
GTEX-13OVJ	91	4	79	0	62	13	62
GTEX-16MTA	75	3	66	0	56	7	63
GTEX-1C475	88	0	77	0	54	3	52
GTEX-XBED	82	1	85	0	59	6	68
GTEX-XPT6	112	2	91	0	70	11	66
GTEX-146FR	98	0	85	0	72	13	61
GTEX-1AX9I	65	1	74	0	49	4	55
GTEX-14JG6	68	0	70	0	55	3	48
GTEX-R55D	98	0	106	0	75	8	62
GTEX-14PQA	84	3	70	0	60	10	53
GTEX-SIU8	56	0	53	0	46	8	35
GTEX-13S7M	58	1	57	0	46	8	31
GTEX-1122O	91	0	90	0	85	10	65
GTEX-1LB8K	73	1	76	0	49	11	45
GTEX-11TTK	96	0	81	0	71	15	66
GTEX-T5JW	120	3	118	0	86	8	80
GTEX-1LC47	167	2	171	0	105	21	97
GTEX-11DXX	122	3	96	0	88	6	75
GTEX-12ZZZ	49	2	52	0	44	4	40
GTEX-13FTX	87	2	88	0	63	9	56
GTEX-ZDXO	57	0	59	0	40	7	39
GTEX-131XW	68	1	62	0	46	4	55
GTEX-11EMC	65	1	50	0	49	5	55
GTEX-X4XY	136	3	134	0	113	11	105
GTEX-15UF7	152	0	142	0	136	15	117
GTEX-1CB4H	62	2	67	0	59	11	51
GTEX-1C6VQ	94	2	70	0	54	12	62
GTEX-1F75B	135	1	134	0	123	19	100
GTEX-1QP6S	63	0	74	0	57	6	55
GTEX-XQ8I	84	0	69	0	70	8	61
GTEX-13W3W	74	0	60	0	54	4	51
GTEX-QV31	26	0	26	0	12	3	15
GTEX-1B933	51	1	61	0	39	6	32
GTEX-XUW1	65	2	45	0	50	5	43
GTEX-1313W	47	1	63	0	49	6	46
GTEX-18A7B	113	2	113	0	82	15	79
GTEX-111FC	52	2	46	0	38	5	38
GTEX-13X6J	70	3	54	0	45	5	45
GTEX-UTHO	93	1	109	0	66	10	78
GTEX-ZLV1	84	0	72	0	62	10	71
GTEX-OHPN	127	4	106	0	92	19	85
GTEX-13FTZ	67	0	65	0	45	5	36
GTEX-17EUY	108	2	101	0	81	7	79
GTEX-1I4MK	88	1	97	0	81	9	80
GTEX-1MCYP	165	5	183	0	115	17	104
GTEX-15ETS	91	0	96	0	60	10	54
GTEX-1212Z	93	0	80	0	62	10	48
GTEX-1F5PL	165	2	130	0	105	17	126
GTEX-WK11	62	1	56	0	40	8	50
GTEX-1RAZR	98	1	105	0	81	10	61
GTEX-1C2JI	65	0	63	0	62	7	56
GTEX-1LH75	92	2	91	0	48	10	62
GTEX-QEL4	78	0	71	0	47	3	44
GTEX-U8T8	117	2	117	0	71	10	71
GTEX-ZF2S	80	0	79	0	50	7	49
GTEX-WEY5	112	2	130	1	85	10	78
GTEX-1F75A	92	0	85	0	77	9	63
GTEX-14LZ3	71	2	69	0	49	12	47
GTEX-13O3Q	42	1	43	0	38	7	28
GTEX-13N2G	134	1	126	0	109	8	102
GTEX-XGQ4	54	0	37	0	36	4	39
GTEX-RNOR	49	0	43	0	32	6	39
GTEX-R3RS	117	1	109	0	68	13	61
GTEX-1A3MX	175	4	197	1	127	20	126
GTEX-17GQL	120	4	101	0	89	12	86
GTEX-1FIGZ	51	2	44	0	35	5	40
GTEX-11ZVC	83	2	71	0	72	8	64
GTEX-15G1A	183	2	176	1	142	20	127
GTEX-QV44	102	0	106	0	67	9	59
GTEX-11OF3	48	1	50	0	48	7	46
GTEX-1CB4F	42	0	40	0	30	3	33
GTEX-ZF3C	98	0	72	0	65	8	63
GTEX-PWCY	100	0	83	0	63	6	54
GTEX-14BIL	97	2	77	1	63	6	69
GTEX-18A67	156	2	165	0	123	13	112
GTEX-1A3MW	109	3	99	0	87	11	68
GTEX-1269C	60	0	54	0	48	8	42
GTEX-11ZU8	88	2	75	0	61	10	47
GTEX-1192X	68	1	67	0	41	5	53
GTEX-15D79	59	0	49	0	44	6	40
GTEX-1RAZA	88	0	85	0	73	11	62
GTEX-13OVH	82	1	73	0	65	6	58
GTEX-1EU9M	87	1	74	0	72	12	69
GTEX-U3ZN	168	1	156	0	138	11	128
GTEX-117YW	79	1	87	0	57	3	57
GTEX-16MT8	134	1	142	0	95	16	104
GTEX-ZWKS	99	1	99	0	59	13	74
GTEX-Q2AG	18	0	23	0	14	3	14
GTEX-1AX9J	129	3	112	0	109	8	96
GTEX-YJ8O	36	0	39	0	31	4	25
GTEX-OOBK	59	0	64	0	47	4	45
GTEX-ZC5H	95	0	93	0	74	10	75
GTEX-Y9LG	125	2	103	1	90	8	79
GTEX-1EWIQ	92	2	66	0	50	5	50
GTEX-QDT8	91	0	84	0	52	5	55
GTEX-1A8FM	72	0	69	0	58	7	48
GTEX-15RIF	119	1	96	0	80	16	81
GTEX-XPVG	97	1	75	0	60	11	59
GTEX-ZT9X	76	3	68	0	67	5	54
GTEX-1AMEY	87	1	76	0	60	5	47
GTEX-1IDJF	98	4	78	0	61	12	62
GTEX-RTLS	64	0	58	0	39	5	42
GTEX-14E6D	82	0	72	0	58	6	61
GTEX-1S82Y	81	1	85	0	56	7	55
GTEX-18A66	65	0	67	0	53	3	42
GTEX-1QAET	131	1	127	0	86	17	71
GTEX-15CHC	57	0	40	0	36	4	34
GTEX-1QCLZ	147	2	142	0	91	7	96
GTEX-ZTPG	94	1	112	0	62	13	76
GTEX-1399U	93	1	84	0	75	8	65
GTEX-1PDJ9	98	1	94	0	72	5	79
GTEX-1PIEJ	107	3	108	0	70	10	62
GTEX-132Q8	105	4	103	0	88	12	79
GTEX-11TT1	120	1	119	0	112	14	104
GTEX-ZAK1	61	0	59	0	44	9	44
GTEX-1PBJJ	95	2	90	0	59	5	57
GTEX-1QP2A	68	2	77	0	61	7	47
GTEX-145MH	48	2	45	0	34	4	38
GTEX-OIZG	70	0	69	0	60	6	47
GTEX-11GSP	64	1	73	0	44	10	40
GTEX-1F5PK	108	1	108	0	83	8	73
GTEX-12WSJ	76	1	71	0	59	7	57
GTEX-N7MS	46	1	58	0	42	7	48
GTEX-1A3MV	89	0	79	0	64	9	58
GTEX-1IDJE	82	4	81	0	67	11	59
GTEX-1LVAM	93	0	80	0	52	6	55
GTEX-X5EB	70	0	56	0	41	7	55
GTEX-16XZZ	158	2	153	0	93	13	108
GTEX-1K2DU	229	5	215	0	168	11	133
GTEX-14PII	66	2	69	0	46	9	43
GTEX-15ER7	179	2	146	1	115	22	103
GTEX-ZPCL	71	1	63	0	50	9	47
GTEX-1LG7Z	104	1	86	0	63	15	60
GTEX-RWSA	92	0	91	0	73	12	69
GTEX-1R7EU	112	1	114	0	78	11	59
GTEX-U3ZM	87	3	69	0	70	6	60
GTEX-WFON	93	0	95	0	64	4	60
GTEX-RN64	54	0	43	0	46	5	34
GTEX-1QP66	152	4	132	0	95	16	83
GTEX-1GZHY	53	0	52	0	28	3	33
GTEX-1JN1M	144	3	145	1	90	17	90
GTEX-R55C	41	0	34	0	33	7	32
GTEX-1MCQQ	82	1	78	0	59	13	55
GTEX-14PJM	61	0	57	0	32	5	35
GTEX-139YR	92	0	85	0	67	7	59
GTEX-1445S	123	1	96	0	80	16	78
GTEX-1MA7W	76	2	83	0	69	10	49
GTEX-14LLW	135	1	126	0	104	12	95
GTEX-VUSG	98	3	100	0	75	11	57
GTEX-11ZTT	86	1	59	0	56	5	51
GTEX-12WSL	102	3	79	0	75	6	65
GTEX-1GMR8	102	4	100	0	62	14	64
GTEX-1GPI6	44	2	43	0	33	2	29
GTEX-X4EO	77	2	69	0	67	9	57
GTEX-13111	50	1	47	0	44	4	42
GTEX-14PK6	67	2	55	0	55	4	49
GTEX-XMD2	50	0	54	0	43	7	45
GTEX-144FL	107	2	82	0	56	6	62
GTEX-13QJ3	79	1	85	0	50	8	62
GTEX-ZYFD	80	0	64	0	62	8	63
GTEX-ZA64	83	2	90	0	75	10	61
