individual	chr12:120560886:120562945:cluster87054	chr12:120560886:120565072:cluster87054	chr12:120563070:120563332:cluster87054	chr12:120563070:120563347:cluster87054	chr12:120563623:120563810:cluster87054	chr12:120563623:120563816:cluster87054	chr12:120563943:120565072:cluster87054	chr12:120565529:120566825:cluster87054	chr12:120565529:120571191:cluster87054	chr12:120566980:120571172:cluster87054	chr12:120566980:120571191:cluster87054	chr12:120566980:120575631:cluster87054	chr12:120571291:120574468:cluster87054	chr12:120571291:120575631:cluster87054	chr12:120574537:120575631:cluster87054	chr12:120575950:120576590:cluster87054	chr12:120575950:120576593:cluster87054
GTEX-1JMQJ	294	0	363	195	540	3	576	427	1	3	595	54	0	487	1	745	3
GTEX-1IDJC	682	1	130	764	821	4	835	695	4	9	788	27	3	750	6	714	15
GTEX-132NY	442	5	95	650	622	1	641	507	2	0	565	24	0	513	2	484	1
GTEX-13OVL	439	0	71	587	517	4	537	459	0	3	463	29	1	411	5	433	6
GTEX-UPJH	290	2	74	387	372	1	369	310	1	3	374	21	1	324	0	314	2
GTEX-11P82	856	3	93	1022	944	4	1099	877	1	7	1031	53	0	872	5	943	6
GTEX-QEG4	354	0	58	423	386	2	402	408	1	6	442	15	0	380	1	361	4
GTEX-14JIY	499	4	68	593	603	3	600	556	2	1	559	39	2	496	0	546	5
GTEX-R55E	479	1	80	633	525	2	629	536	1	3	644	19	2	579	1	548	2
GTEX-147F3	429	3	72	543	480	1	589	449	3	2	511	13	1	439	0	513	7
GTEX-YEC4	464	0	88	488	551	1	585	506	0	3	537	20	2	426	3	463	6
GTEX-YB5E	541	4	126	716	751	7	736	669	3	7	646	31	2	603	5	631	12
GTEX-SUCS	643	2	135	896	775	3	951	871	4	3	938	50	3	817	4	694	2
GTEX-ZYT6	531	1	90	677	685	3	665	561	1	5	575	29	4	474	3	561	4
GTEX-1QW4Y	1121	5	145	1322	1185	8	1485	1067	1	9	1241	53	4	1118	5	1017	14
GTEX-Y8E4	1084	1	178	1269	1075	4	1200	1074	5	5	1074	37	9	930	8	1010	9
GTEX-1KD4Q	667	3	107	822	718	4	895	746	2	4	813	48	5	772	6	628	12
GTEX-12WSM	352	0	69	387	423	2	471	381	4	0	407	36	3	375	4	388	5
GTEX-15EO6	628	1	139	785	718	0	843	630	2	1	689	46	0	630	4	687	3
GTEX-1QMI2	462	2	71	553	585	2	638	518	2	6	516	36	1	523	1	543	0
GTEX-WHPG	838	4	160	1003	914	5	1201	1003	2	2	1158	71	0	848	5	852	5
GTEX-1CAMR	678	3	106	734	717	5	874	778	2	1	871	56	3	776	4	720	7
GTEX-1KXAM	1095	7	160	1187	1130	6	1249	1049	3	6	1134	85	9	1005	6	869	12
GTEX-14A6H	744	5	180	829	816	7	1018	827	6	2	955	71	5	818	4	708	7
GTEX-13PL7	340	4	53	484	455	4	462	424	4	3	445	19	2	396	4	454	2
GTEX-13OVJ	547	1	92	650	617	4	669	607	0	2	621	52	5	524	8	508	2
GTEX-13W46	586	5	126	735	666	4	778	611	5	5	617	56	0	579	2	621	4
GTEX-16MTA	775	3	145	944	967	9	1091	902	6	11	874	45	7	797	3	803	10
GTEX-ZQG8	620	6	82	679	754	6	842	736	2	4	909	43	2	708	4	748	15
GTEX-13NZA	349	0	60	444	490	6	524	487	0	2	531	24	3	422	1	450	5
GTEX-1GN1V	476	1	73	618	578	1	676	501	0	4	634	28	1	582	3	568	0
GTEX-14BMV	502	5	102	589	574	4	582	519	0	2	598	25	0	543	1	571	4
GTEX-XPT6	882	0	122	1059	973	4	1162	1022	1	5	1135	46	1	871	6	947	8
GTEX-U4B1	449	1	86	617	531	0	605	539	0	3	565	29	1	470	2	549	0
GTEX-1AX9I	482	0	103	550	581	1	556	541	1	0	529	27	0	522	5	476	4
GTEX-17F96	567	5	84	787	762	0	845	695	3	2	752	51	3	647	3	679	8
GTEX-1B8KE	415	4	89	421	422	0	522	414	3	3	402	28	2	432	2	375	4
GTEX-ZVT2	660	1	153	807	887	8	901	756	3	0	813	46	6	691	5	732	8
GTEX-14JG6	554	0	89	694	663	5	680	591	1	4	603	36	1	539	3	523	3
GTEX-1KANA	759	0	122	869	852	2	940	800	0	0	961	40	6	814	4	737	5
GTEX-X4XX	572	6	74	747	702	3	781	685	3	8	704	45	5	616	3	601	9
GTEX-Y5V5	648	3	122	800	793	3	838	746	0	2	674	59	1	655	0	661	7
GTEX-1C64N	757	4	117	926	959	2	1220	1008	1	3	1115	50	2	901	9	1011	10
GTEX-S33H	817	1	126	958	887	3	1042	810	2	3	928	57	5	801	2	721	11
GTEX-13JVG	303	1	49	362	393	1	402	384	0	6	388	24	1	300	0	388	3
GTEX-P78B	576	1	100	684	588	3	653	520	1	3	605	35	0	515	1	510	7
GTEX-ZAB5	481	2	88	638	619	4	726	579	2	4	571	35	2	442	6	521	3
GTEX-1LB8K	586	0	97	646	699	7	810	606	2	0	624	21	3	584	3	615	5
