individual	chr16:80976179:80978242:cluster77880	chr16:80976179:80980770:cluster77880	chr16:80976179:80981806:cluster77880	chr16:80976179:80997314:cluster77880	chr16:80976179:81006734:cluster77880	chr16:80980879:80981806:cluster77880	chr16:80980879:80997314:cluster77880	chr16:80981877:80991754:cluster77880	chr16:80981877:80997314:cluster77880	chr16:80981877:81006734:cluster77880	chr16:80991957:80997314:cluster77880	chr16:80997429:80998285:cluster77880	chr16:80997429:81006734:cluster77880	chr16:80998351:81006734:cluster77880	chr16:80998354:81006734:cluster77880
GTEX-1R7EU	3	59	152	25	5	48	3	1	152	4	5	63	96	36	8
GTEX-1IDJC	1	43	147	27	3	30	3	0	156	3	1	1	179	0	0
GTEX-13OVL	0	17	81	18	4	19	0	0	85	3	0	2	86	1	0
GTEX-UPJH	0	22	39	11	1	11	1	0	55	1	0	0	61	0	0
GTEX-R55E	0	32	85	16	7	21	1	0	76	2	0	0	122	1	0
GTEX-SUCS	4	46	105	29	2	31	0	2	125	3	4	2	141	0	2
GTEX-Y8E4	3	43	161	30	10	49	2	0	205	10	1	0	227	0	0
GTEX-15EO6	1	16	43	19	4	22	4	2	74	4	2	2	80	1	0
GTEX-YF7O	1	32	97	15	3	25	3	1	103	0	2	1	135	0	0
GTEX-1QMI2	3	42	79	29	4	38	2	0	94	0	1	0	111	1	0
GTEX-13X6I	0	21	32	17	2	12	2	0	51	1	0	1	58	1	0
GTEX-WHPG	6	40	98	18	4	27	1	0	135	0	3	0	135	1	0
GTEX-1KXAM	4	76	164	50	3	48	4	0	201	3	4	1	310	0	3
GTEX-14A6H	6	35	127	20	5	42	0	4	143	2	5	1	147	2	1
GTEX-13PL7	0	24	74	15	2	14	1	0	78	1	1	1	87	0	0
GTEX-11EQ9	1	40	112	32	3	27	1	0	113	2	2	2	163	0	0
GTEX-16MTA	1	50	148	27	6	43	1	4	180	2	6	1	199	1	0
GTEX-ZQG8	2	35	114	25	4	35	4	0	167	3	3	0	188	0	0
GTEX-1C475	3	33	77	13	4	28	1	1	90	2	2	4	125	4	0
GTEX-XBED	6	43	101	21	6	24	1	0	123	3	3	0	149	1	0
GTEX-14BMV	0	44	89	17	8	23	3	1	103	4	2	0	129	1	0
GTEX-U4B1	1	36	91	25	4	25	1	5	104	3	3	0	110	1	0
GTEX-146FR	0	40	96	18	5	36	3	1	122	3	2	0	131	0	0
GTEX-1AX9I	4	30	70	21	6	22	2	1	78	1	0	1	79	0	0
GTEX-1KANA	1	52	185	30	6	37	1	3	197	4	5	3	183	4	1
GTEX-R55D	0	34	127	14	6	34	4	3	126	1	4	2	161	1	0
GTEX-1RQEC	2	54	153	31	11	44	3	0	167	7	0	1	188	1	0
GTEX-1C64N	5	43	99	20	9	33	2	0	117	4	0	2	146	1	0
GTEX-S33H	1	38	102	26	3	35	6	2	147	2	2	3	178	0	1
GTEX-13JVG	1	13	42	17	2	19	2	0	60	1	0	1	48	1	0
GTEX-ZAB5	0	19	54	9	2	29	1	2	92	3	2	1	94	0	0
GTEX-1LB8K	2	54	111	22	10	37	2	0	134	3	2	0	143	2	1
GTEX-15SHU	0	38	92	22	5	40	5	4	126	5	1	2	140	0	0
GTEX-1LC47	2	37	83	26	9	27	1	0	96	2	0	1	116	1	0
GTEX-14753	0	34	74	18	9	28	2	1	111	0	1	1	119	0	0
GTEX-11DXX	2	40	151	23	5	38	1	2	164	1	4	1	210	1	0
GTEX-139T6	2	31	91	27	5	31	2	2	135	0	2	1	147	0	0
GTEX-1MJK3	0	74	188	28	5	71	4	3	216	2	5	4	240	2	0
GTEX-14DAR	2	31	88	13	4	29	3	3	113	2	2	0	93	1	1
GTEX-15UF6	2	16	37	15	0	13	2	0	52	3	0	2	66	0	0
GTEX-15UF7	5	39	129	37	10	38	5	3	166	1	5	0	170	0	0
GTEX-13RTK	1	34	97	19	0	35	1	1	107	2	6	2	106	1	1
GTEX-ZXG5	1	24	60	11	0	19	1	1	82	1	0	1	89	3	0
GTEX-1CB4H	0	17	36	12	2	13	2	0	41	3	0	1	50	0	0
GTEX-1F75B	2	26	56	27	2	28	4	0	81	1	0	2	119	0	0
GTEX-1QP6S	1	51	99	20	10	34	2	1	107	3	4	3	125	0	0
GTEX-11NUK	1	17	63	21	3	21	3	0	80	0	0	1	88	0	0
GTEX-131YS	1	25	51	16	2	20	2	1	64	6	0	3	99	1	1
GTEX-12696	0	26	54	14	1	22	2	1	72	2	1	0	91	1	0
GTEX-XQ8I	0	18	32	12	2	9	3	0	62	1	0	2	73	1	0
GTEX-1AX9K	0	26	46	20	2	25	2	0	67	1	0	0	87	0	0
GTEX-XUW1	3	24	50	13	5	18	0	1	61	1	3	2	101	1	0
GTEX-XBEW	3	83	259	50	10	76	5	4	296	3	3	5	320	8	2
GTEX-145LU	1	34	89	24	12	30	2	1	131	3	2	3	117	1	1
GTEX-ZDYS	1	31	71	10	6	27	0	2	86	3	5	0	97	0	0
GTEX-ZLV1	0	57	173	19	3	56	3	1	195	3	3	1	233	2	0
GTEX-1NUQO	3	37	97	19	6	41	3	2	135	2	4	2	119	0	0
GTEX-13FTZ	2	30	96	18	0	22	3	2	95	2	0	1	132	0	0
GTEX-1LGOU	3	29	97	17	10	22	1	1	121	2	2	4	129	2	0
GTEX-1L5NE	0	56	102	33	5	49	4	3	146	1	3	0	195	1	0
GTEX-1I4MK	2	25	72	25	3	29	1	2	80	0	2	0	115	0	0
GTEX-11EM3	0	48	82	22	4	30	1	3	114	2	1	3	173	1	0
GTEX-1MCYP	0	48	159	45	7	52	7	2	207	3	2	5	236	1	2
GTEX-13FTY	1	28	73	26	7	23	1	1	80	3	0	0	95	0	0
GTEX-1PPH7	0	52	111	32	8	42	6	0	150	3	0	5	167	1	1
GTEX-1212Z	4	19	54	19	7	22	3	0	86	3	1	1	92	0	0
GTEX-WK11	3	46	121	38	14	42	2	0	153	3	1	3	132	0	0
GTEX-1GPI7	3	28	109	18	7	29	4	0	147	3	3	1	162	2	0
GTEX-1RAZR	3	84	196	47	16	79	6	1	239	5	2	3	346	2	0
GTEX-OHPL	3	25	52	12	7	20	1	0	71	4	0	0	95	0	0
GTEX-1211K	0	16	45	13	0	19	3	1	82	1	2	1	96	0	0
GTEX-W5WG	4	44	112	20	2	38	2	1	152	7	0	2	202	1	0
GTEX-1ICG6	2	38	135	29	3	40	2	3	150	5	4	1	183	3	2
GTEX-13O3O	0	28	81	10	6	21	1	0	106	1	0	1	91	0	0
GTEX-1C2JI	1	33	130	21	8	29	0	4	140	4	1	3	155	1	0
GTEX-18D9A	1	62	184	35	10	45	5	1	181	7	3	4	261	0	0
GTEX-T5JC	5	64	192	37	13	48	2	2	224	8	3	3	223	1	0
GTEX-ZF2S	0	57	105	27	8	40	2	1	132	3	1	1	198	1	0
GTEX-WEY5	7	89	284	55	10	73	4	5	306	5	4	4	289	1	0
GTEX-14BMU	3	39	115	28	3	30	1	0	143	2	1	0	132	2	0
GTEX-1QP9N	6	42	172	31	9	52	3	3	174	7	3	2	182	0	1
GTEX-11ZUS	1	18	77	23	3	27	2	0	87	1	1	2	127	0	0
GTEX-1B97J	3	73	203	27	4	42	2	6	199	4	4	4	231	0	2
GTEX-1F75A	4	51	129	25	13	46	2	1	165	8	1	1	155	1	0
GTEX-139UW	1	32	95	15	3	28	1	1	99	4	1	0	135	1	0
GTEX-13N2G	2	64	179	56	13	83	12	0	258	6	3	2	358	0	0
GTEX-146FQ	0	49	119	44	9	39	4	1	121	2	0	4	185	3	0
GTEX-13QBU	4	42	109	18	5	51	2	1	170	0	3	0	155	0	0
GTEX-XGQ4	1	14	62	17	5	16	3	2	68	1	4	0	81	0	0
GTEX-RNOR	0	20	58	13	4	26	0	0	70	2	0	0	76	1	0
GTEX-1B97I	2	51	176	26	6	51	9	3	205	2	8	3	258	2	0
GTEX-1A3MX	0	26	78	19	2	20	3	1	83	0	0	3	114	0	0
GTEX-XOT4	1	41	83	14	4	27	1	0	107	2	1	2	124	1	0
GTEX-1IDFM	0	45	121	30	4	51	4	0	129	3	3	0	139	0	2
GTEX-17GQL	0	61	160	55	6	51	6	2	212	2	6	3	321	2	2
GTEX-11GSO	3	16	54	10	4	18	0	0	54	0	2	0	73	0	0
GTEX-1FIGZ	1	31	117	32	6	42	0	0	143	2	0	1	173	0	1
GTEX-15RIG	2	53	148	22	5	39	1	3	225	5	6	1	241	4	2
GTEX-13FTW	1	32	81	12	4	28	0	3	121	5	1	0	133	0	0
GTEX-13RTL	3	21	67	22	6	20	2	1	94	0	2	3	105	1	2
GTEX-15G1A	0	38	101	34	0	35	8	1	159	1	2	2	177	2	0
GTEX-ZZ64	0	33	112	16	10	21	0	1	120	3	1	1	155	0	0
GTEX-1JMQI	5	67	155	45	7	45	4	1	190	3	1	6	196	0	2
GTEX-11OF3	1	61	121	30	12	59	2	0	144	6	1	2	205	0	0
GTEX-1R46S	0	25	76	16	3	28	2	1	76	3	1	2	111	2	1
GTEX-11UD2	3	25	45	13	2	23	3	0	63	2	0	1	97	0	0
GTEX-1KWVE	0	49	96	10	7	40	1	0	132	4	1	1	150	1	1
GTEX-1CB4F	1	26	62	23	5	15	2	1	105	3	1	4	96	3	0
GTEX-ZF3C	0	26	69	25	3	27	4	2	80	2	1	0	96	1	1
GTEX-1GMRU	3	37	82	17	6	28	1	2	81	2	2	0	109	0	0
GTEX-X261	1	24	53	18	3	25	4	0	76	0	0	2	96	0	0
GTEX-OIZH	1	58	110	32	9	52	2	0	148	6	5	1	205	1	0
GTEX-1192X	2	24	82	15	1	21	4	1	89	2	0	0	125	1	0
GTEX-15D79	0	39	119	28	9	38	2	1	117	4	2	1	183	3	0
GTEX-1RAZA	0	56	110	47	10	51	8	3	181	5	3	5	213	3	0
GTEX-13N1W	1	30	62	7	6	26	2	2	77	3	1	0	83	0	0
GTEX-ZWKS	1	28	76	24	8	37	7	2	124	1	3	2	124	1	1
GTEX-OOBK	1	17	59	10	4	11	0	0	75	1	2	0	97	0	0
GTEX-Y9LG	2	20	58	24	4	18	2	2	89	2	4	1	98	3	1
GTEX-1EWIQ	0	37	68	25	4	39	1	0	105	5	1	5	136	1	0
GTEX-Y5LM	2	49	155	40	9	54	6	1	219	6	3	3	218	3	1
GTEX-11EI6	0	31	81	22	8	30	1	3	100	1	3	4	139	0	1
GTEX-1A8FM	0	14	34	12	5	8	0	0	47	1	0	1	59	0	0
GTEX-15RIF	4	120	347	54	15	87	1	10	405	11	8	5	447	4	1
GTEX-1M5QR	0	66	217	37	11	66	6	3	220	4	5	2	266	0	0
GTEX-XPVG	4	36	90	30	6	33	1	2	130	4	2	2	178	3	1
GTEX-1JN6P	1	24	52	18	0	25	2	0	96	1	3	3	107	0	0
GTEX-ZT9X	6	59	123	39	8	44	1	0	187	3	2	2	212	2	1
GTEX-1AMEY	1	55	177	30	5	57	3	2	250	1	3	2	198	2	1
GTEX-1IDJF	0	60	123	30	7	41	1	1	148	2	4	3	185	1	0
GTEX-1GN73	2	35	107	19	4	34	3	1	147	0	4	3	161	0	0
GTEX-11LCK	3	26	59	14	4	26	2	1	89	7	1	1	89	0	0
GTEX-14E6D	2	39	89	16	7	29	1	3	94	1	0	1	134	1	0
GTEX-1S82Y	0	61	170	33	14	54	1	2	189	2	4	3	254	1	0
GTEX-18A66	0	33	62	21	0	34	1	0	98	1	1	1	113	2	1
GTEX-1QAET	6	44	106	34	2	32	4	1	118	2	1	1	125	1	0
GTEX-15CHC	1	23	72	18	0	31	0	0	87	3	3	3	90	2	0
GTEX-13PVR	3	16	38	10	0	19	1	0	50	2	0	1	62	0	0
GTEX-1314G	1	14	50	14	0	15	2	0	56	0	1	1	89	1	0
GTEX-ZTPG	3	27	66	30	2	26	1	0	99	1	1	1	124	0	1
GTEX-1399U	2	26	110	21	5	41	1	2	107	6	5	0	142	1	0
GTEX-QDVN	1	13	49	16	4	16	2	0	55	2	0	0	72	0	0
GTEX-1PDJ9	2	62	194	67	19	59	13	3	249	4	5	4	299	0	0
GTEX-15CHR	1	43	98	29	8	27	2	0	147	2	0	6	190	3	1
GTEX-132Q8	1	11	29	10	2	18	2	0	42	0	0	0	49	1	0
GTEX-13112	1	27	46	14	3	30	4	0	92	4	0	1	98	1	1
GTEX-18A7A	0	20	62	26	3	31	5	0	102	3	0	3	124	1	1
GTEX-ZAK1	3	18	45	12	5	25	2	0	77	0	0	2	84	1	0
GTEX-1PBJJ	4	27	98	20	6	41	1	1	95	2	1	2	115	0	1
GTEX-1QP2A	0	39	101	28	3	38	3	4	152	5	4	1	185	1	1
GTEX-16XZY	0	25	57	12	6	18	1	0	86	2	0	3	74	1	1
GTEX-13X6H	2	13	62	11	3	23	1	1	78	4	0	0	87	0	0
GTEX-1F52S	0	18	59	15	2	24	4	1	83	1	0	0	111	0	0
GTEX-11GSP	1	26	47	22	4	20	4	1	70	1	0	0	93	0	0
GTEX-12WSG	2	35	89	28	6	35	6	4	136	0	6	1	130	2	1
GTEX-1F5PK	6	65	150	34	4	50	7	0	195	1	1	1	180	1	0
GTEX-12WSJ	2	22	100	20	2	20	1	1	87	2	1	1	116	1	0
GTEX-1A3MV	0	50	150	36	6	41	1	1	166	5	2	3	180	0	0
GTEX-1LVAM	0	56	113	28	7	46	9	1	159	9	1	2	196	0	1
GTEX-14PJ5	0	29	61	23	3	18	1	0	78	1	0	1	96	0	0
GTEX-133LE	3	21	76	21	4	23	1	1	104	0	1	0	91	1	0
GTEX-1R9PO	2	41	91	26	2	28	4	0	124	0	0	0	117	0	0
GTEX-16XZZ	2	35	91	38	8	35	5	0	149	3	0	1	160	1	1
GTEX-1K2DU	4	63	195	43	10	75	7	6	248	8	3	0	281	1	2
GTEX-ZAB4	1	17	46	9	3	18	2	2	71	0	2	0	71	1	0
GTEX-O5YV	3	31	63	16	3	21	0	0	76	2	0	2	83	1	1
GTEX-15ER7	3	49	126	58	9	55	6	3	209	5	1	2	282	1	1
GTEX-T8EM	4	53	183	37	7	58	2	2	195	1	3	3	187	0	0
GTEX-13OW6	1	19	35	15	2	12	4	0	58	2	0	0	77	0	0
GTEX-ZPCL	0	28	93	11	4	23	2	1	116	4	3	0	114	0	0
GTEX-1LG7Z	3	46	172	23	4	49	2	4	195	8	4	1	201	1	0
GTEX-1C4CL	0	32	96	17	2	28	1	2	114	4	2	3	143	1	0
GTEX-U3ZM	1	31	119	28	4	37	4	1	162	2	5	1	143	2	0
GTEX-WFON	5	39	92	21	7	33	3	0	136	0	0	2	175	0	1
GTEX-15SHV	3	29	114	16	5	23	0	3	133	1	1	1	158	0	0
GTEX-1128S	0	35	92	30	7	30	4	1	114	2	2	1	153	0	1
GTEX-RN64	1	22	44	16	3	15	0	0	53	1	0	0	84	0	0
GTEX-1GZHY	1	43	77	24	9	26	2	0	107	1	1	2	124	0	1
GTEX-147JS	2	22	48	12	3	14	3	0	56	1	1	0	58	0	0
GTEX-1MCQQ	2	23	39	7	3	16	2	0	61	0	2	3	83	0	1
GTEX-1GF9U	2	75	196	54	15	65	10	6	230	8	4	1	243	0	0
GTEX-OXRL	1	27	52	10	0	22	2	0	99	2	2	2	93	1	0
GTEX-14PJM	1	21	55	14	3	29	2	1	79	6	0	1	108	0	0
GTEX-117XS	0	20	53	16	7	31	1	1	82	2	0	3	101	1	1
GTEX-139YR	2	31	102	21	1	31	1	4	88	2	4	0	135	0	1
GTEX-1445S	0	22	46	13	2	20	3	0	57	0	0	0	79	1	0
GTEX-15SKB	4	52	132	29	8	58	5	0	141	2	0	1	153	0	0
GTEX-1BAJH	1	11	36	8	3	15	2	0	35	0	0	1	63	1	0
GTEX-14LLW	1	46	102	41	4	54	8	0	166	1	0	5	186	1	0
GTEX-13QIC	0	24	40	12	4	14	1	0	57	0	0	0	63	0	0
GTEX-11ZTT	1	21	71	11	2	19	2	1	79	1	0	1	108	2	0
GTEX-12KS4	1	29	45	12	1	20	1	0	62	1	3	1	66	1	0
GTEX-1GPI6	2	16	47	14	1	20	3	1	58	1	4	1	66	0	0
GTEX-1GN1U	2	25	55	15	3	20	1	0	72	3	0	1	73	0	0
GTEX-X4EO	2	24	59	27	6	18	4	0	79	3	1	1	108	1	0
GTEX-111YS	2	49	121	28	7	26	3	5	136	5	6	1	197	1	0
GTEX-13111	2	21	50	6	4	18	0	0	65	4	2	1	100	0	0
GTEX-139TS	2	37	128	27	8	43	4	0	137	1	0	5	190	2	2
GTEX-14PK6	0	19	50	12	3	18	2	0	74	0	1	0	106	2	0
GTEX-1O9I2	0	18	46	11	4	16	4	0	54	1	1	0	58	0	0
GTEX-1CAMQ	0	24	56	16	7	21	3	0	74	0	0	0	98	1	0
GTEX-13QJ3	2	26	64	18	3	24	1	0	74	1	0	0	98	0	0
GTEX-ZYFD	2	31	62	13	2	12	1	2	68	3	0	3	73	0	0
GTEX-14JG1	1	32	108	19	5	23	0	2	132	3	0	0	151	1	0
GTEX-ZA64	2	18	78	15	2	27	1	2	89	2	1	2	113	0	0
GTEX-1PIIG	1	46	116	24	7	47	4	1	137	5	2	2	131	0	0
GTEX-17JCI	0	40	55	15	4	22	1	0	87	3	1	4	117	1	0
GTEX-1JJ6O	2	43	105	31	7	39	3	3	126	3	3	0	145	0	0
GTEX-13OVK	1	29	78	10	2	27	1	3	92	1	4	3	99	1	1
GTEX-WRHU	1	50	128	32	20	37	3	2	160	4	0	2	177	1	0
GTEX-13OVG	3	46	115	21	3	35	1	3	144	1	6	1	175	0	0
GTEX-YECK	1	22	62	23	6	17	2	1	96	3	2	1	120	0	0
GTEX-WHSE	2	29	82	25	9	32	6	0	110	5	0	2	162	0	0
GTEX-1F88F	3	59	152	38	13	36	4	0	204	8	0	0	176	2	1
GTEX-1LG7Y	2	57	106	26	7	27	1	1	103	4	0	1	150	1	1
GTEX-12WSA	0	13	39	9	0	14	1	2	42	0	0	0	64	0	0
GTEX-1JMQK	1	9	23	6	0	12	0	0	36	1	0	1	40	0	0
GTEX-ZZPU	0	21	103	14	3	21	1	2	113	2	3	1	147	1	0
GTEX-14E6E	0	34	97	36	9	29	6	2	127	1	4	0	180	0	1
GTEX-13D11	4	19	63	13	5	20	1	1	89	3	3	0	111	1	0
GTEX-ZP4G	1	51	168	37	7	66	4	5	177	4	12	5	266	1	1
GTEX-15DZA	0	55	156	28	2	48	2	2	170	11	7	1	195	3	1
GTEX-ZGAY	5	73	164	20	3	51	3	2	191	4	8	4	196	2	1
GTEX-14C39	4	25	80	20	5	32	7	1	92	0	0	2	126	1	0
GTEX-147GR	0	20	65	16	7	25	1	0	79	5	3	0	109	0	0
GTEX-1R9K5	2	39	134	16	5	45	3	4	143	5	8	4	192	3	0
GTEX-11O72	2	23	56	22	7	21	2	1	70	1	0	1	79	0	0
GTEX-13X6K	1	18	45	12	1	10	0	0	44	0	1	2	69	0	0
GTEX-1B932	2	36	106	17	2	42	1	2	139	4	1	2	147	2	2
GTEX-1S82U	0	71	134	44	11	53	8	1	153	1	1	5	221	4	2
GTEX-ZEX8	3	58	158	45	7	40	0	4	179	6	4	4	246	2	1
GTEX-WL46	3	27	95	17	4	34	3	2	106	5	3	0	143	1	0
GTEX-15RIE	1	56	168	20	3	72	2	4	247	5	7	4	245	2	0
GTEX-1GF9V	3	58	111	30	10	41	3	0	158	1	0	1	173	0	1
GTEX-1RAZQ	0	68	178	35	0	65	4	3	251	2	2	6	282	2	2
GTEX-12WSN	2	31	70	20	3	35	1	4	107	3	1	1	158	1	0
GTEX-13FHO	1	25	69	20	5	17	1	0	53	0	0	2	87	1	0
GTEX-U3ZH	0	14	29	8	1	19	1	0	48	1	1	2	55	0	0
GTEX-1ICLY	3	14	37	8	4	16	1	1	49	1	0	0	50	0	0
GTEX-14BIM	6	43	124	33	5	40	3	0	136	2	1	3	176	0	0
GTEX-1GTWX	2	15	43	19	4	22	2	0	66	0	1	0	80	0	0
GTEX-111CU	0	39	128	31	10	44	10	6	181	3	5	1	220	0	0
GTEX-PSDG	3	50	134	30	3	43	4	0	165	3	1	1	171	1	1
GTEX-ZVE2	2	22	66	10	1	14	3	2	58	1	3	0	80	0	1
GTEX-17HHY	2	21	52	11	4	16	2	2	56	1	2	0	54	2	0
GTEX-Z9EW	3	34	82	14	5	45	0	0	113	2	2	0	128	0	1
GTEX-OXRN	0	31	81	27	8	19	4	0	101	4	0	2	129	3	0
GTEX-S95S	1	23	48	7	4	25	0	0	61	3	0	1	82	0	0
GTEX-1QP28	0	26	109	19	3	28	2	1	116	1	0	1	142	1	0
